altitude,inclination,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
700.0,90.0,4.041636000420565,3.925671812464265,4.172070402964335,4.35872138910813,4.467162329615861,4.52084287677508,4.532643826761474,4.521089630931459,4.482917820867959,4.4189804612898484,4.363237712406359,4.304106548279689,4.219531455646223,4.154366543665437,4.10968660968661,4.03477557622321,3.9686078252957233,3.9106687085247573,3.8385093167701863,3.7858484658735128,3.7179310344827585,3.535836177474403,3.3206303429807393,3.0994294039091903,2.903772785078423,2.6900958466453675,2.4889673433362756,2.3517978620019435,2.2454142947501583,2.156376746282109,2.078627591136526,2.036942675159236,2.004787234042553,1.9844141386028389,2.0047086521483224,1.9915100060642814,1.9862223646267223,2.0238568588469183,1.977531857813548,2.007404795486601,2.0656284760845383,1.9955390334572491,2.021889400921659,2.070020120724346,2.0698725852856557,2.08277027027027,2.0913024664647337,2.106080781180648,2.104261106074343,2.1160886319845855,2.134567283641821,2.151673640167364,2.2035398230088497,2.2083096186681845,2.214975845410628,2.263681592039801,2.2172544080604535,2.258964143426295,2.3198887343532686,2.2381615598885793,2.25,2.329484218629715,2.331734612310152,2.3261231281198005,2.3324561403508772,2.360777058279371,2.4014713610089333,2.4299226139294925,2.4514663362247004,2.6626794258373208
9000.0,20.0,2.1344046749452157,2.156299336911904,2.6637721874600944,3.089556863960335,3.4175191815856776,3.643800397335515,3.7659615018105583,3.7855333520968197,3.7229287090558767,3.61351217088922,3.495684340320592,3.38472942920682,3.2888117953165654,3.2139632861871803,3.1577134986225897,3.11340206185567,3.081026528258362,3.0552876888460303,3.0319148936170213,3.01077375122429,2.992889463477699,2.942442173211404,2.894948143191703,2.8487603305785125,2.806288032454361,2.7679012345679013,2.72962962962963,2.6933920704845815,2.6582278481012658,2.6173285198555956,2.5703254274682847,2.5280455048190866,2.4759871931696904,2.420886075949367,2.3748052526151793,2.3214460185637518,2.2767278617710582,2.23683427551324,2.1879936808846763,2.158839779005525,2.137121212121212,2.10725677830941,2.0904822876653864,2.0794306703397614,2.0689655172413794,2.0627572016460904,2.0592069527430743,2.0578796561604586,2.0577617328519855,2.065771812080537,2.072992700729927,2.088996763754045,2.1055900621118013,2.1179828734538533,2.1441422372737855,2.1537265355992448,2.166588675713617,2.19020907700153,2.2085722085722086,2.2118726539691367,2.2246408358728775,2.261356155365372,2.2813822284908323,2.302307983352251,2.3285123966942147,2.3546642631816135,2.5732703051138803,2.6876712328767125,2.7202216066481992,2.743293437886917
25000.0,50.0,1.6001465559355155,1.3219878555449025,1.3049510337323178,1.2924901185770752,1.277088948787062,1.2667597765363128,1.2642669007901668,1.266479360276637,1.274898307308752,1.2887068829736967,1.305591920703198,1.3243243243243243,1.343382728666326,1.3626729467176921,1.3806799057556378,1.397857689364958,1.414465136422694,1.4301075268817205,1.4449339207048457,1.4587724736515808,1.473463687150838,1.505639097744361,1.5378759040730872,1.5663641034423703,1.59120221096269,1.6114532019704433,1.6252039151712887,1.6315508021390375,1.6298611111111112,1.6199821587867975,1.6037200861971193,1.5816545220745821,1.5528093883357041,1.522627416520211,1.4903277807630306,1.4567620286085825,1.424561403508772,1.3927911275415896,1.3676712328767124,1.3396704689480354,1.3174835405998537,1.2989949748743719,1.2811320754716982,1.2695874640230254,1.2544927536231885,1.24538157727099,1.2420830401125968,1.2352941176470589,1.233501710933681,1.2286238532110092,1.2253634894991923,1.2234159175619381,1.223756248512259,1.2243540547454592,1.2233035955663694,1.2276564774381369,1.2249166414064867,1.2235219728106228,1.226936026936027,1.227449593208348,1.2249451353328455,1.2232779097387174,1.2239896818572658,1.2223242994947174,1.22200488997555,1.222741433021807,1.255591054313099,1.2785588752196837,1.2985788466794206,1.3333333333333333
400.0,10.0,4.329436038514443,4.94161207633153,4.4111640571817565,3.9931600547195623,3.742162026586406,3.5847602739726026,3.4569892473118276,3.33719806763285,3.2257238022034334,3.1404565630944834,3.066890255263648,3.021978021978022,3.028317341446291,3.0247385870951287,3.02421574023115,3.055393586005831,3.0647636586863105,3.0813350615683737,3.1187013865404123,3.1022408963585435,3.097182080924856,3.1764018691588785,3.18118609406953,3.1995735607675906,3.227393617021277,3.2362888482632544,3.2505832944470368,3.2813852813852815,3.294175715695952,3.3038674033149174,3.3436213991769543,3.308977035490605,3.351524879614767,3.3732394366197185,3.358846367165835,3.4027149321266967,3.388856978747846,3.3648018648018647,3.4489916963226572,3.4092270820850805,3.397790055248619,3.4687108886107634,3.477431659249841,3.4187380497131934,3.436974789915966,3.5180722891566267,3.5064059339177343,3.5170998632010946,3.5297783933518008,3.527027027027027,3.550472040668119,3.5867269984917045,3.616342412451362,3.580343213728549,3.557073954983923,3.7133220910623947,3.6962774957698814,3.639724849527085,3.6033129904097643,3.7251566696508505,3.813888888888888,3.7122507122507127,3.7305447470817126,3.7415169660678647,3.8135414469521196,3.8104089219330852,3.9447450868698373,4.288126055149127,4.028169014084507,12.608642428693845
900.0,20.0,2.632947976878613,3.027630805408583,3.1042071197411003,3.166295471417966,3.241089218507859,3.3138658628485307,3.362362971985384,3.3577386468952732,3.2924739686305524,3.189730965359592,3.0661410424879545,2.9475587703435804,2.8554181389870434,2.777885235332044,2.7248953974895396,2.684601113172542,2.652783184118334,2.635168447000822,2.6131634819532907,2.601766004415011,2.596047794117647,2.5723331709693134,2.5670794633642933,2.5659666128163705,2.57126886528787,2.5830920671685003,2.5956937799043063,2.6083486801718845,2.618808777429467,2.6297953964194374,2.642249836494441,2.654312668463612,2.6618852459016393,2.6706128133704734,2.677990092002831,2.684587813620072,2.6946508172362558,2.6988847583643123,2.706909643128322,2.7142857142857144,2.7187745483110763,2.727199354317998,2.730612244897959,2.737759336099585,2.741582491582492,2.747863247863248,2.7528187337380747,2.756590509666081,2.7622877569258266,2.774766355140187,2.7822349570200573,2.7888015717092336,2.7962515114873034,2.8033730974907445,2.8075845722904544,2.8121618697251676,2.8135066089081415,2.8152124257651896,2.815106580166821,2.8127984718242596,2.8103469116402757,2.8034465534465536,2.7953816549069916,2.782931354359926,2.7651358433319544,2.7503204671699186,2.588169434596007,2.4756154203437064,2.40857297883885,2.381683731513083
1000.0,40.0,2.885414121671146,2.8929440389294405,3.1276939655172415,3.32578486875965,3.5032437442075994,3.665707893895813,3.7805840568271507,3.8132183908045976,3.753465943339361,3.6216666666666666,3.444516407599309,3.26365921418177,3.115625,2.985706723133933,2.8938591328232293,2.8229255774165956,2.7639111518204715,2.72615232930737,2.6806526806526807,2.647606019151847,2.6210982658959536,2.5437322387117147,2.4897048730267675,2.4466374269005846,2.41843424604705,2.403238866396761,2.396027049873204,2.393700787401575,2.395139513951395,2.398707891093678,2.4037914691943127,2.413555992141454,2.4185814185814185,2.4266734798160448,2.4322916666666665,2.439153439153439,2.450137741046832,2.4530905077262695,2.460712266817411,2.468677494199536,2.4749852854620364,2.483009708737864,2.488,2.4940438871473356,2.5003190810465856,2.505844155844156,2.5122273628552545,2.5177971793149765,2.5232876712328767,2.5349675558759914,2.545925925925926,2.5540229885057473,2.5644268774703556,2.5713128038897892,2.577777777777778,2.5834767641996557,2.5865128660159717,2.5902841429880845,2.592350746268657,2.5926640926640925,2.592556317335945,2.590520748576078,2.586840172106202,2.579520697167756,2.5704185197856084,2.5615530303030303,2.4659557013945856,2.4060310044595457,2.3818227976643818,2.4445714285714284
2500.0,0.0,2.5117120954003407,2.7441768653770233,2.9943593875906527,3.1886141460609547,3.3502660861151425,3.466459868165956,3.49822695035461,3.4197111299915037,3.236914600550964,3.0070650574035915,2.7760763826337596,2.579204762917287,2.430596285434995,2.3262548262548264,2.2519060689234522,2.198869304955105,2.1600287047003945,2.133696074621065,2.1062602965403623,2.0859409431467606,2.069437883797827,2.016931216931217,1.9741784037558685,1.9383825417201541,1.9106529209621994,1.8885630498533725,1.873456790123457,1.8610885458976443,1.8503803888419272,1.842756183745583,1.8357664233576643,1.8316279069767443,1.8256611165523997,1.8217131474103585,1.8152602114866265,1.8105015506362956,1.807281927180728,1.8037518037518037,1.8000683137879996,1.7936736161035227,1.790844898953007,1.7877652933832708,1.7843913654361987,1.7800705237038004,1.7778670953912112,1.774827259178973,1.7700519330640507,1.7679964669512733,1.7668356263577119,1.7606623965005468,1.755798969072165,1.752403440715129,1.7504785105272316,1.7478054133138259,1.7461832061068703,1.7453476983349656,1.744954128440367,1.7453820319059614,1.7440887214898515,1.7444396920444825,1.7477825790311576,1.7495331465919701,1.751923076923077,1.7541954590325766,1.758126439723573,1.7631862217438106,1.7932412790697674,1.8135750813575082,1.8353658536585367,2.004695448023999
1800.0,80.0,2.9450277949351453,2.9134509371554573,3.154555940023068,3.3392391870766023,3.473275710001764,3.56677062659484,3.5931690445309123,3.546134663341646,3.4374468085106384,3.3055648117294236,3.146486262598371,2.998344370860927,2.8940719144800777,2.779003087781209,2.7141792897938912,2.6627235213204954,2.6096609660966097,2.5884678747940693,2.5430486944248414,2.5106463878326997,2.48258910282671,2.3783910196445275,2.2948650079407096,2.198014018691589,2.1263492063492064,2.064935064935065,2.0284256559766765,1.9846508058326937,1.9536,1.9195020746887967,1.913006029285099,1.9504504504504505,1.8985239852398523,1.9173789173789173,1.8919182083739046,1.874751491053678,1.9147827898739451,1.9068550497121926,1.9179409864311867,1.8892218892218893,1.8969607953903513,1.9223119223119223,1.9176288537078918,1.924808370848035,1.9225037257824142,1.9447261663286004,1.8786388924828568,1.88216686437327,1.956316570041796,1.9408740359897172,1.9531595227574017,1.9516301852135314,1.97084917617237,1.9406876323936777,1.9813600276147738,1.9533426183844012,1.9467434328895286,1.9605287655929995,2.0079635949943118,2.0369279120015715,1.947546868767451,1.9716179821835509,1.9734986108142765,1.9909111061848814,2.0023174971031286,1.9678039404132628,1.950197889182058,1.944231587909749,1.9582272032603159,2.1033384452046713
1600.0,30.0,2.7430966469428006,2.808219178082192,3.0340406719717063,3.2201309328968906,3.384659252922726,3.522861881070836,3.5909431137724552,3.559463986599665,3.4256651017214397,3.246955978769903,3.0239520958083834,2.8182384064737005,2.6740391588107326,2.5268490374873354,2.4482913669064748,2.388330473155185,2.330880420499343,2.307626636311895,2.2649880095923263,2.233609166136219,2.2081218274111674,2.125884543761639,2.075194115243155,2.018421052631579,1.9916083916083915,1.9709216362740267,1.9704816157431382,1.9547413793103448,1.9471341124095716,1.9306590257879657,1.937906564163217,1.9858461538461538,1.9403640929064658,1.965228589826143,1.9433838051349572,1.9296246648793565,1.9726699369306238,1.9676511954992968,1.9805054151624548,1.9531946508172362,1.9622356495468278,1.9882903981264637,1.9841395717684378,1.991902834008097,1.9909165978530141,2.0143097643097643,1.9484978540772533,1.9519650655021834,2.0285714285714285,2.0150943396226415,2.0291545189504374,2.0286348054043155,2.048556840679379,2.0188396488974525,2.0611205432937183,2.033086138049059,2.0268519608997764,2.0418848167539267,2.088960475777475,2.121056681200308,2.0273259596616784,2.0513166779203242,2.0528879610299233,2.069811048608106,2.0792526744010846,2.043077883564851,2.012130240476697,1.9975409836065574,2.00553926360378,2.1384959046909904
4000.0,10.0,3.0016806722689076,2.623515234980203,2.9203346671516917,3.105614973262032,3.1841891735249797,3.199310740953475,3.139708072683944,3.0151580770896493,2.8709295441089404,2.7669524551831643,2.656280428432327,2.5857988165680474,2.5832261751678813,2.531017369727047,2.556840077071291,2.5804319083296607,2.585185185185185,2.6224662162162162,2.6198398028342575,2.6159618008185537,2.6117202268431003,2.5562024182713836,2.516298633017876,2.441666666666667,2.4034391534391535,2.363372093023256,2.3501577287066246,2.308080808080808,2.2797513321492007,2.235567970204842,2.23069403714565,2.289119170984456,2.1989304812834223,2.2248165443629087,2.173012768894513,2.138208496035972,2.1836040800906686,2.1666243332486665,2.170122837141725,2.1087405368203718,2.1084592571670666,2.1312203791469195,2.1114993164210847,2.1081504702194356,2.090732967387795,2.1107784431137726,1.9962302947224126,1.990137372314195,2.089171974522293,2.0315581854043394,2.0268706076891276,2.0013114754098362,2.0022993791676247,1.9448308946989685,1.974099974099974,1.9304531085353003,1.9085651335720186,1.9192850965696167,1.962459355601537,1.9894932014833127,1.883984867591425,1.9074074074074074,1.908278941944349,1.9268292682926829,1.9440876463921422,1.9145332808192201,1.9907353792704112,2.0544593528018944,2.0835791543756144,2.264062955406587
