altitude,inclination,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
700.0,90.0,3.0564609399642517,3.020583190394511,3.170449282075035,3.2813733228097868,3.348822800495663,3.3829592304168576,3.3884938590820943,3.374340949033392,3.337950138504155,3.276039371235493,3.2212680431207747,3.160932297447281,3.0850223743090286,3.0289052890528905,2.9857549857549857,2.9239789729074,2.870791628753412,2.8223583460949464,2.7684923771880294,2.7269881026925487,2.6751724137931037,2.5503412969283277,2.4101349263569882,2.278742260531747,2.173237247421224,2.0575079872204474,1.9470432480141218,1.8833819241982508,1.8349146110056926,1.79202343397927,1.7495830355015487,1.7296815286624203,1.7148936170212765,1.7052602282215419,1.727781047675103,1.719526986052153,1.7141941685357258,1.7485089463220675,1.7072434607645874,1.731311706629055,1.7804968483500185,1.7178438661710038,1.738863287250384,1.778672032193159,1.7772297575010276,1.786739864864865,1.7927304197317178,1.8038171327119397,1.8009972801450589,1.8078034682080926,1.8224112056028015,1.8357740585774058,1.8783185840707965,1.881616391576551,1.8852657004830917,1.9266169154228856,1.8860201511335013,1.9196547144754317,1.9707927677329624,1.899025069637883,1.9081196581196582,1.9730561970746727,1.9728217426059154,1.964226289517471,1.9657894736842105,1.9861239592969473,1.9876510772464528,1.9862424763542563,1.9768690623709213,2.0086124401913876
9000.0,20.0,1.8699780861943025,1.828544363751184,2.1427659302771036,2.4518128292531762,2.6937340153452687,2.864321608040201,2.9693157995044785,3.011539544047284,3.0,2.9542970690511674,2.8951911220715165,2.831727205337287,2.766695576756288,2.7104022469655935,2.6629935720844813,2.618556701030928,2.5850634371395618,2.5570556091288976,2.5319148936170213,2.515181194906954,2.4994613229907348,2.470145239376009,2.454667112746738,2.4454545454545453,2.4391480730223125,2.4327160493827162,2.42,2.4044052863436125,2.384312097945632,2.3537906137184117,2.3179812465526752,2.2831410965397376,2.2376378512984703,2.1894778481012658,2.1495659915423992,2.103077674645823,2.062634989200864,2.025885153228206,1.9851500789889416,1.9564917127071824,1.9325757575757576,1.9062998405103668,1.8877507469056765,1.8723599632690542,1.8591549295774648,1.8482510288065843,1.8392178164041282,1.8320916905444127,1.825511432009627,1.8161073825503355,1.808029197080292,1.8042071197411003,1.8021295474711623,1.7982873453853472,1.8023071224468197,1.7994001999333555,1.800421151146467,1.8052014278429374,1.8113568113568113,1.8087029056026693,1.8125090698011899,1.8285055957867018,1.8353314527503526,1.8448732500945895,1.859710743801653,1.8747183415953133,2.029222174473571,2.152054794520548,2.239150507848569,2.4122988031366073
25000.0,50.0,1.3058133854421103,1.1508469159475871,1.1398258977149076,1.1355731225296444,1.1309973045822102,1.1284916201117319,1.1308165057067603,1.13464447806354,1.1421073349954074,1.152464955111041,1.1647652889470732,1.1784223247637882,1.1923863055697497,1.2066529290550485,1.2208010770784248,1.2345065034429992,1.2485924642702468,1.2619745845552297,1.275330396475771,1.2882827030378177,1.3023743016759777,1.3336466165413534,1.3665778454510848,1.3956156876177428,1.4210041455550437,1.4415024630541873,1.4551386623164764,1.4614973262032085,1.461111111111111,1.4531668153434434,1.4403992287626177,1.4220602943277612,1.399715504978663,1.37609841827768,1.3511552928533046,1.3254226267880365,1.3005847953216374,1.2758780036968578,1.2558904109589042,1.2338403041825095,1.2158010241404535,1.2001675041876048,1.1858490566037736,1.1768468180364566,1.1640579710144927,1.1569626704038731,1.1532723434201266,1.1476621417797888,1.1455108359133126,1.1411009174311926,1.138529886914378,1.137250602937952,1.1378243275410616,1.138142747505756,1.1370640713706408,1.1394468704512373,1.1370112155198544,1.1356307303193172,1.137037037037037,1.1365405022992572,1.1346013167520117,1.1322248614410135,1.1315563198624248,1.1295360587965089,1.1290953545232274,1.1287642782969887,1.1493610223642172,1.1654217926186292,1.1783274118611642,1.2071240105540897
400.0,10.0,3.21595598349381,3.7225861577898036,3.382573179033356,3.131326949384405,2.9721595184349137,2.850599315068493,2.7479838709677415,2.6714975845410627,2.612093261593646,2.5760938490805327,2.543320290665176,2.552831783601014,2.54856073016616,2.565672022443254,2.5916345624656025,2.599125364431487,2.6193984039287908,2.63901490602722,2.667230300980724,2.681372549019608,2.6864161849710984,2.7309190031152646,2.7394683026584867,2.7462686567164183,2.785460992907802,2.7870201096892138,2.7848810079328046,2.8205868205868208,2.825271470878578,2.820190858864892,2.8487654320987654,2.8272442588726516,2.8673087212413053,2.8412784398699893,2.8580144204104267,2.875,2.8788052843193563,2.8921911421911424,2.8534994068801898,2.883762732174955,2.9060773480662987,2.9055068836045055,2.93006993006993,2.8572339069471,2.933419521654816,2.9933065595716197,2.9184086311530684,2.951436388508892,2.9238227146814406,2.9381223328591752,2.9498910675381262,3.009049773755656,3.02023346303502,2.954758190327613,3.0064308681672025,3.036256323777403,3.032994923857868,3.0593293207222696,2.9991281604184827,3.0143240823634736,3.1018518518518516,3.0959164292497627,3.055447470817121,3.062874251497006,3.157561695844759,3.184998906625847,3.1814297920820276,3.434627649596698,3.2233400402414487,8.444118007100013
900.0,20.0,2.070809248554913,2.1355085243974132,2.2789644012944983,2.392972036624598,2.464024795218065,2.49698568198945,2.4981729598051157,2.4698795180722892,2.4225649136681167,2.3720766660805346,2.3215067893123082,2.2818393180056833,2.2567726737338045,2.236299161831077,2.22629009762901,2.2200371057513917,2.2148695990657843,2.2161051766639277,2.2110403397027603,2.211037527593819,2.213235294117647,2.2060399415489527,2.2048503611971104,2.202477113624125,2.20290665176076,2.2055587724377532,2.20933014354067,2.212400245549417,2.215047021943574,2.2180306905370846,2.222367560497057,2.225741239892183,2.226775956284153,2.2298050139275767,2.231422505307856,2.2329749103942653,2.236998514115899,2.2379182156133828,2.2414578587699316,2.244565217391304,2.2458758837391986,2.2502017756255044,2.2514285714285713,2.2564315352697095,2.257575757575758,2.2623931623931623,2.2653946227233304,2.268014059753954,2.2716711349419123,2.2822429906542054,2.288443170964661,2.293713163064833,2.30149133413946,2.3076923076923075,2.3130790777849604,2.318762172689894,2.32144840608686,2.3241206030150754,2.3262279888785913,2.3256924546322826,2.3256376163423185,2.3226773226773227,2.3181526619627966,2.3111582295255766,2.300372362432768,2.2902720410197976,2.190707221496548,2.125638643752903,2.0718936516549107,1.956769055745165
1000.0,40.0,2.340825800146592,2.225060827250608,2.3677262931034484,2.484817292846114,2.588507877664504,2.6861617130073507,2.759800052617732,2.786535303776683,2.7613019891500903,2.694166666666667,2.6014680483592403,2.5056224368302686,2.4296875,2.362802188106582,2.3190111830488522,2.286142001710864,2.2578429127547515,2.2427902390929257,2.220927220927221,2.20656634746922,2.194797687861272,2.15219450584149,2.119080301990391,2.0891812865497075,2.0667180871577324,2.051417004048583,2.0409974640743873,2.0349956255468067,2.031953195319532,2.030456852791878,2.0303317535545022,2.0338899803536346,2.0344655344655345,2.037301992846193,2.0390625,2.041798941798942,2.0473829201101927,2.0485651214128033,2.0525720746184284,2.0568445475638053,2.060623896409653,2.066140776699029,2.068923076923077,2.0733542319749216,2.077855775366943,2.081818181818182,2.086582947785856,2.090664875755541,2.095890410958904,2.1067051189617882,2.1155555555555554,2.1241379310344826,2.1343873517786562,2.141815235008104,2.1495726495726495,2.1549053356282273,2.1597160603371783,2.164069660861595,2.167910447761194,2.16988416988417,2.170421155729677,2.171480878763222,2.170217231608773,2.1666666666666665,2.161021781274946,2.1543560606060606,2.093519278096801,2.054576343172648,2.0228484386900227,1.9657142857142857
2500.0,0.0,2.163543441226576,2.2743782076589025,2.3263497179693795,2.320299022426682,2.3105950653120466,2.3047692904226444,2.283096926713948,2.2327952421410364,2.1544995408631773,2.0665292905504855,1.9834264096559178,1.914522645120136,1.8641251221896382,1.83011583011583,1.8066483684050014,1.7898237445959428,1.7771797631862218,1.7687524290711232,1.7582372322899507,1.750110180696342,1.743032593292395,1.7164021164021164,1.693075117370892,1.6720154043645699,1.6556701030927834,1.6422287390029326,1.6334876543209877,1.6271324126726239,1.6221470836855452,1.6201413427561837,1.6177007299270072,1.6167441860465117,1.6170421155729677,1.6165338645418326,1.6162139747045408,1.6158699604320395,1.6158838411615883,1.6161616161616161,1.6156210861892293,1.615144979630961,1.6155344533722913,1.6142322097378277,1.614510154553583,1.6129032258064515,1.6130760986066452,1.6122476629183038,1.6099249855741489,1.6090092742529074,1.608979000724113,1.6059990626464615,1.602770618556701,1.5997638724911452,1.5971811379850356,1.593818580833943,1.5908396946564884,1.5884427032321253,1.5855249745158002,1.5837531486146095,1.5821301527516216,1.580196749358426,1.5778940186490789,1.5751633986928104,1.573076923076923,1.570335636722606,1.5689787560788329,1.5672766415500539,1.569767441860465,1.592282659228266,1.6252771618625277,1.737315768879614
1800.0,80.0,2.3767757875231625,2.2990628445424477,2.41522491349481,2.483585200625326,2.520726759569589,2.540119081372271,2.533938607868569,2.497506234413965,2.4365957446808513,2.366988781517272,2.2918680104928897,2.2235099337748343,2.1710398445092323,2.1254962505513895,2.0941147256021853,2.068225584594223,2.045004500450045,2.03163097199341,2.0105857445306987,1.9965779467680609,1.9836132732486687,1.9349859681945745,1.8914769719428268,1.848714953271028,1.81015873015873,1.7792207792207793,1.7558309037900874,1.7375287797390637,1.724,1.7153526970954356,1.7097329888027561,1.7072072072072073,1.7047970479704797,1.7037037037037037,1.703018500486855,1.7037773359840955,1.705385977706011,1.705913134484563,1.7068705578289898,1.7094017094017093,1.7105411817873686,1.7128817128817129,1.7140816569456017,1.715537169972016,1.717585692995529,1.7190669371196754,1.7207918230042696,1.7226835376301568,1.7244168801402184,1.7280776920879748,1.7307409044041833,1.7342721567426909,1.7363751584283904,1.7386345119765358,1.741456679323438,1.7426880222841226,1.7445124145376034,1.746043567305902,1.7468714448236633,1.7475937929679828,1.7481053051455924,1.748498031903874,1.7482368027356272,1.7475060962092663,1.7457705677867903,1.7443536761172513,1.724934036939314,1.7215836526181354,1.727967396841569,1.7907278518343754
1600.0,30.0,2.279585798816568,2.2374429223744294,2.35499557913351,2.425531914893617,2.470772740233818,2.504145936981758,2.504116766467066,2.4667783361250697,2.392018779342723,2.3113747528358832,2.2103618849258004,2.119514472455649,2.0630891950688905,1.9904761904761905,1.9620053956834533,1.9399362588869822,1.9137976346911958,1.910927717700626,1.8911870503597121,1.877784850413749,1.8683587140439932,1.8268156424581006,1.8054760931753167,1.7723684210526316,1.7603729603729603,1.7501232134056186,1.7545313309166235,1.744073275862069,1.7390094602114636,1.7255014326647564,1.732702542874039,1.776,1.7350910232266163,1.7566001287830006,1.7366688610928243,1.7231903485254692,1.7603363700070076,1.7552742616033756,1.7660649819494585,1.7399702823179792,1.7469788519637461,1.7689305230288837,1.7644726407613005,1.7700404858299594,1.7671345995045418,1.7878787878787878,1.727038626609442,1.7283842794759825,1.7964285714285715,1.780188679245283,1.7910592808551993,1.788667069973785,1.804730644993227,1.7758509955041748,1.8109790605546123,1.7855105533371363,1.7795312684018372,1.7910629489833192,1.8324866807087101,1.8594511413182868,1.7761873780091086,1.7987846049966238,1.7995824634655533,1.814510312995817,1.8231128521922555,1.7917902294365537,1.7716535433070866,1.7644808743169398,1.7660475724991853,1.8190618019359643
4000.0,10.0,2.4983193277310924,2.112239628163195,2.160785740269189,2.210561497326203,2.266141184652834,2.3300784989469654,2.3643133750372356,2.352966652230403,2.304914150384843,2.258768511301637,2.1791626095423564,2.111242603550296,2.0874410630090012,2.0198511166253104,2.015414258188825,2.012780960775672,1.9985185185185186,2.0160472972972974,2.0055452865064693,2.0020463847203276,2.0015122873345934,1.9758172861621137,1.971608832807571,1.9428571428571428,1.9384920634920635,1.931686046511628,1.9416403785488958,1.9250841750841752,1.9174067495559504,1.8929236499068902,1.8993157380254155,1.9575129533678757,1.8898395721925134,1.916833444518568,1.8796733003566088,1.8554017276062005,1.899005163077698,1.8872237744475489,1.8940694756306962,1.8458362009635239,1.8500211834486655,1.8735189573459716,1.8593346498556889,1.858934169278997,1.846948659993542,1.8679308050565535,1.7700479780671694,1.7664670658682635,1.8562329390354868,1.8128205128205128,1.812525837122778,1.793879781420765,1.79926419866636,1.7502998320940273,1.7790727790727792,1.7410432033719705,1.7221151198017075,1.7313346785817239,1.77209577298256,1.796044499381953,1.6960907944514503,1.714616402116402,1.7110958433527996,1.7230989956958394,1.7313940309784661,1.6951555730602599,1.6780544296467863,1.6795580110497237,1.7089478859390363,1.894782862139318
200.0,60.0,5.769629629629629,4.350240651610514,4.1412903225806454,4.024582104228122,3.9268951784952355,3.8487295647035653,3.7973008732468907,3.779089961792289,3.788908765652952,3.8295583238958097,3.8920254057868737,3.9696969696969697,4.061844863731656,4.1597796143250685,4.262246559123872,4.368393692600936,4.47352526676062,4.583527221963704,4.689839572192513,4.79485609308022,4.900314795383001,5.1352657004830915,5.310481212920237,5.389333333333333,5.328080903104421,5.151700888752681,4.8414705310250925,4.43670429978381,4.0093240093240095,3.565037852718513,3.140711462450593,2.7868409193330326,2.4673316708229427,2.2271973466003314,2.027761013880507,1.8682673588578844,1.745492371705964,1.650073206442167,1.5944444444444446,1.5302287581699348,1.4935511607910577,1.4714932126696831,1.4476635514018692,1.4398009950248756,1.4162537165510407,1.4106260296540363,1.4171064204045736,1.4097113448198704,1.4135021097046414,1.4129895884977688,1.4109232769830948,1.4131916053420552,1.4242073259012598,1.428593319031566,1.4320419180692283,1.4498631074606436,1.445086705202312,1.4502514367816093,1.4664745437079731,1.473790322580645,1.4756022235948116,1.4884182660489742,1.5079022988505748,1.5184056867225184,1.5316967898570273,1.5403318077803203,1.6882091761223483,1.796420581655481,1.9149363025378674,1.7227586206896555
2500.0,50.0,2.349172450613988,2.241152263374486,2.324249262280854,2.3660460713158726,2.398168103448276,2.4283216783216783,2.4338482202820684,2.402799377916019,2.3371352785145887,2.2677519916868722,2.177481736140954,2.096857290056672,2.0491803278688523,1.982056590752243,1.95703125,1.9390243902439024,1.9141221374045803,1.9123085050184891,1.892536635237987,1.877847555719739,1.8653126670229823,1.8166435932933396,1.7854001759014952,1.7381697301525225,1.7138573570357678,1.691753774680604,1.6863625031164298,1.66622691292876,1.654228855721393,1.633458105384394,1.6356542617046819,1.6775007888923952,1.6300259403372244,1.650921273031826,1.626551724137931,1.6096011295446524,1.6460736881280238,1.6389513108614233,1.6478328173374612,1.6155386463756507,1.6212678936605316,1.6417021276595745,1.6343899261832393,1.6369710467706013,1.631218621633957,1.6503038803179055,1.5801819052178077,1.5805188448360254,1.649748743718593,1.6245972073039743,1.629319955406912,1.6198250728862973,1.629022465088039,1.5944758317639673,1.622906898861353,1.5952542372881355,1.5829817158931083,1.5935672514619883,1.6291044776119403,1.6524437548487199,1.5717665615141956,1.589975349219392,1.5896346644010195,1.603356890459364,1.612395929694727,1.585014409221902,1.5979520344920506,1.62210433244916,1.654950707243892,1.774986638161411
