Altitude_km,Inclination_deg,0.01_mmAl_rel_diff,0.1_mmAl_rel_diff,0.2_mmAl_rel_diff,0.3_mmAl_rel_diff,0.4_mmAl_rel_diff,0.5_mmAl_rel_diff,0.6_mmAl_rel_diff,0.7_mmAl_rel_diff,0.8_mmAl_rel_diff,0.9_mmAl_rel_diff,1.0_mmAl_rel_diff,1.1_mmAl_rel_diff,1.2_mmAl_rel_diff,1.3_mmAl_rel_diff,1.4_mmAl_rel_diff,1.5_mmAl_rel_diff,1.6_mmAl_rel_diff,1.7_mmAl_rel_diff,1.8_mmAl_rel_diff,1.9_mmAl_rel_diff,2.0_mmAl_rel_diff,2.25_mmAl_rel_diff,2.5_mmAl_rel_diff,2.75_mmAl_rel_diff,3.0_mmAl_rel_diff,3.25_mmAl_rel_diff,3.5_mmAl_rel_diff,3.75_mmAl_rel_diff,4.0_mmAl_rel_diff,4.25_mmAl_rel_diff,4.5_mmAl_rel_diff,4.75_mmAl_rel_diff,5.0_mmAl_rel_diff,5.25_mmAl_rel_diff,5.5_mmAl_rel_diff,5.75_mmAl_rel_diff,6.0_mmAl_rel_diff,6.25_mmAl_rel_diff,6.5_mmAl_rel_diff,6.75_mmAl_rel_diff,7.0_mmAl_rel_diff,7.25_mmAl_rel_diff,7.5_mmAl_rel_diff,7.75_mmAl_rel_diff,8.0_mmAl_rel_diff,8.25_mmAl_rel_diff,8.5_mmAl_rel_diff,8.75_mmAl_rel_diff,9.0_mmAl_rel_diff,9.5_mmAl_rel_diff,10.0_mmAl_rel_diff,10.5_mmAl_rel_diff,11.0_mmAl_rel_diff,11.5_mmAl_rel_diff,12.0_mmAl_rel_diff,12.5_mmAl_rel_diff,13.0_mmAl_rel_diff,13.5_mmAl_rel_diff,14.0_mmAl_rel_diff,14.5_mmAl_rel_diff,15.0_mmAl_rel_diff,16.0_mmAl_rel_diff,17.0_mmAl_rel_diff,18.0_mmAl_rel_diff,19.0_mmAl_rel_diff,20.0_mmAl_rel_diff,30.0_mmAl_rel_diff,40.0_mmAl_rel_diff,50.0_mmAl_rel_diff,100.0_mmAl_rel_diff
200.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200.0,20.0,-0.9998970238095238,-0.999682545979084,-0.9993740037950665,-0.9989584113121232,-0.998415063446582,-0.9977365313653137,-0.9970007227174175,-0.9963387011148469,-0.995859061984445,-0.9956043956043956,-0.9955295689943201,-0.9955749258160237,-0.995680449618627,-0.9958102564102564,-0.9959400360685302,-0.9960901408450704,-0.9962315175097276,-0.9963390601313795,-0.9964567708333333,-0.9965753205128205,-0.9966890710382513,-0.9969254335260116,-0.9971685662867427,-0.997390092879257,-0.9975971956660293,-0.9978075668623614,-0.9980311052283256,-0.9982332203389831,-0.998438062283737,-0.9986514726507714,-0.9988526466380544,-0.9990557163531114,-0.9992348596750369,-0.9994018642803878,-0.9995392694063927,-0.9996562258313998,-0.9997527429467085,-0.9998294210943696,-0.999887117552335,-0.9999293587662338,-0.9999572780082987,-0.9999751770657673,-0.9999852181351583,-0.9999902482876712,-0.9999922183708839,-0.9999927647584973,-0.9999930855085508,-0.9999932351868733,-0.9999933557603686,-0.9999935358490566,-0.9999937274472169,-0.9999937835153923,-0.9999938702757917,-0.999994104477612,-0.9999941459317585,-0.999994044746655,-0.9999941624532864,-0.9999942031894725,-0.9999942500846406,-0.999994221965318,-0.999994146196041,-0.9999942137367329,-0.9999942890965732,-0.99999435658717,-0.9999942536611581,-0.999994247603168,-0.9999940868636525,-0.9999935951661632,-0.9999940079266783,-0.9999863171128531
200.0,30.0,-0.9985903334194882,-0.9954400371862411,-0.9937343453510437,-0.9920700152207002,-0.9897111264685556,-0.9864711337815906,-0.9825886143931257,-0.9784093211752787,-0.9742220744680851,-0.9703341483292584,-0.966857688634193,-0.9641993796127928,-0.9616702102527758,-0.9599337326366765,-0.9583253914227365,-0.9570153978989783,-0.9562631737428485,-0.9553551653219428,-0.9551735428945645,-0.9544793779580798,-0.9537628775973459,-0.9531244170863645,-0.9520952193586465,-0.9510717230008244,-0.9505944798301487,-0.9499229583975347,-0.9495255309534568,-0.9488924780802953,-0.9485402326133396,-0.9479368932038835,-0.9480147965474722,-0.947521497218007,-0.947542242703533,-0.9474816369359916,-0.9471233609847471,-0.9478520935290919,-0.9477900552486188,-0.9487423141419787,-0.9486243845931075,-0.9484506226469737,-0.9490404487747269,-0.9506646525679758,-0.9501829268292683,-0.9493858267716535,-0.950652579241765,-0.9513761467889909,-0.9507232084155162,-0.9511558784676354,-0.9508474576271186,-0.9506271777003484,-0.951994301994302,-0.9523497267759563,-0.9527903469079939,-0.9528771384136858,-0.9560300514037169,-0.9559139784946237,-0.9570833333333333,-0.9610736842105263,-0.9613972842750766,-0.9630264930399641,-0.9666983265490728,-0.9691125642223261,-0.9760780487804878,-0.9796591478696742,-0.9916253869969041,-0.9999928236547683,-0.9999931513157895,-0.9999936971375808,-0.9999941283410886,-0.9999962072767365
200.0,40.0,-0.8299813780260707,-0.6676185037121645,-0.7076707202993452,-0.7372360844529751,-0.7452847463834462,-0.738471673254282,-0.7223772321428572,-0.7010647737355812,-0.6780108165149716,-0.656341642228739,-0.6385369352139614,-0.6248153618906942,-0.6147655703289014,-0.6073405535499399,-0.6013501350135013,-0.598768472906404,-0.5967501331912626,-0.5930955120828538,-0.5912883435582822,-0.5901362751460091,-0.5890710382513662,-0.5823529411764705,-0.5755346449957228,-0.5660112359550562,-0.5536625178534993,-0.542371020856202,-0.5341160060444031,-0.5243283397300977,-0.517421375440428,-0.5139679956604284,-0.5091989810359467,-0.506990969997087,-0.5022699757869249,-0.49992268439771137,-0.4944791166586654,-0.4895473251028807,-0.4850884582982309,-0.4807361541107671,-0.47486329158581764,-0.4707146695325094,-0.46210857884009626,-0.4551160136934196,-0.4477117818889971,-0.44468376737810844,-0.4373375974415351,-0.42297212324460276,-0.4169318905155952,-0.4079375406636304,-0.39933701657458565,-0.38066743383199086,-0.3628360694741851,-0.33978873239436613,-0.3197153400105429,-0.3092070250133049,-0.2907623817473567,-0.2698365527488855,-0.2617046818727491,-0.251539408866995,-0.24173748819641172,-0.23154800783801432,-0.22070379227878378,-0.2103582830791061,-0.20066152149944871,-0.19107551487414176,-0.17569786535303777,-0.16429495472186295,-0.015473887814313358,0.05125815470643036,-0.025018630895347727,-0.18303220738413184
200.0,50.0,-0.9695953625824051,-0.9600165152766309,-0.9673521441096764,-0.9699842849659508,-0.9695143666531768,-0.9678014184397163,-0.9656019656019657,-0.9633766233766233,-0.9614405039025058,-0.9598696306200902,-0.9586145295752283,-0.9575288683602772,-0.9565907887771308,-0.9556688662267546,-0.9547908232118758,-0.9538867924528301,-0.9529213955443464,-0.9519607843137254,-0.9509518882565959,-0.9498510028653295,-0.9486865482233503,-0.9452830188679245,-0.9407927155865023,-0.9346738667045617,-0.9263380011509688,-0.9152752172767975,-0.9008807339449542,-0.8823772609819122,-0.8592375366568915,-0.8307949092426455,-0.796424878120845,-0.7570035277028428,-0.712893982808023,-0.6657772621809745,-0.6202040816326531,-0.577922077922078,-0.543474779823859,-0.5189163498098859,-0.5047304730473048,-0.5,-0.5023632680621202,-0.5090725806451613,-0.5174516079865874,-0.5277642868706491,-0.5362367021276595,-0.5439380911435941,-0.550641940085592,-0.5547245530828164,-0.5580784387314692,-0.5597496577351848,-0.5589439214081048,-0.5550604710375557,-0.5484504583151462,-0.5448717948717949,-0.5379196994599671,-0.5341932343635921,-0.5314155942467828,-0.5225362872421696,-0.5213494992092778,-0.5221432476763258,-0.5177777777777778,-0.514078374455733,-0.5122988156696022,-0.5099463214398485,-0.507384312438464,-0.5058060109289617,-0.49264705882352944,-0.4860852197070572,-0.6036377708978328,-0.8832028701891715
200.0,60.0,-0.9601086956521739,-0.9372890888638921,-0.9380633185521295,-0.9353160453808752,-0.9290602409638554,-0.921581997954313,-0.9133982382939267,-0.9050517346317711,-0.8969790859798605,-0.8893474088291746,-0.8823666162966407,-0.8758253902472717,-0.8699531275254566,-0.8644950532014187,-0.8594877267876201,-0.8548074594332769,-0.8503823047515019,-0.8462293071735132,-0.8420781893004116,-0.8380022962112514,-0.8338454972257789,-0.8224398433128148,-0.8081180811808117,-0.7893700787401575,-0.7645966029723992,-0.733309209335987,-0.6939890710382514,-0.6466165413533835,-0.5921052631578947,-0.5310897435897436,-0.4658053402239448,-0.40004566731362023,-0.3359882005899705,-0.27979081060889044,-0.23211813567143513,-0.19651259341267646,-0.17341977309562395,-0.16217214628740295,-0.16295674086518264,-0.16849315068493154,-0.18154761904761907,-0.19818859882791684,-0.21292134831460674,-0.22998193859121008,-0.23943661971830987,-0.25239616613418525,-0.26761517615176156,-0.2741151977793199,-0.28415340086830665,-0.29410864575363416,-0.29855305466237936,-0.30176470588235293,-0.3063604240282686,-0.30855813953488376,-0.3075961538461538,-0.3144865525672371,-0.31180657316307314,-0.31045542014111616,-0.31662536607343994,-0.3200328599929585,-0.3188128291048349,-0.3219629723560741,-0.32814614343707715,-0.33030001421868327,-0.3329846061874159,-0.33631934622033643,-0.3609095307208515,-0.3720772619451034,-0.4382924767540153,-0.5299568621185493
200.0,70.0,-0.9341398344066237,-0.913971340839304,-0.9158340929808568,-0.9126993006993007,-0.9055701843224631,-0.8968872686483454,-0.8871525169045831,-0.8762861342479177,-0.8650843222985634,-0.8531981279251171,-0.8416666666666667,-0.8290934320074006,-0.8177434908389585,-0.8060547191193136,-0.7948766245997363,-0.7837062785140125,-0.772444665506093,-0.7622908987808336,-0.7507232401157184,-0.7391209589538685,-0.7277868852459016,-0.6963696369636964,-0.6598529411764706,-0.6170588235294118,-0.5637662337662337,-0.5059247810407006,-0.44021495745633676,-0.370264064293915,-0.3036363636363636,-0.23965827338129497,-0.18206374932468938,-0.13624678663239076,-0.09874723655121587,-0.07341772151898729,-0.056238185255198525,-0.04589823468328147,-0.041327913279132766,-0.040831118627687846,-0.044370419720186516,-0.04747446867237093,-0.05284015852047552,-0.05934718100890213,-0.06409216290767483,-0.07051841508116596,-0.07259749303621155,-0.07711941659070198,-0.08341530592169988,-0.08526040619344466,-0.0895585738539898,-0.09365079365079365,-0.09575233981281495,-0.09769094138543521,-0.1015795206971678,-0.10374891020052324,-0.10433727631179857,-0.10960713106635855,-0.10896130346232191,-0.10967063770147156,-0.11489040060468647,-0.11736526946107784,-0.11793611793611791,-0.12161562361296052,-0.12768031189083817,-0.13086548488008354,-0.13456169737576773,-0.1382405745062837,-0.17101758124667021,-0.19159335288367552,-0.23752759381898447,-0.2828767123287671
200.0,80.0,-0.9197271893626777,-0.8962652929813265,-0.8985170709276928,-0.8945679012345679,-0.8857033443962216,-0.8749293785310734,-0.8629664619744922,-0.8496004917025199,-0.835965598123534,-0.8214216163583252,-0.8076510547014659,-0.792406876790831,-0.7792517006802722,-0.7653731343283582,-0.7526509912402028,-0.7396825396825397,-0.7266345284724314,-0.7154188034188034,-0.7022342064714946,-0.6891435986159169,-0.6765162542455119,-0.6418053777208707,-0.601764705882353,-0.55566534914361,-0.4990068104426788,-0.4396851546769175,-0.3738686470178696,-0.3067821067821068,-0.24591329068941015,-0.18941979522184305,-0.14093625498007967,-0.10352805089647199,-0.07448186528497414,-0.05535324107793149,-0.04180064308681675,-0.03400174367916309,-0.030956848030018747,-0.030248756218905437,-0.03194398862268899,-0.033445945945945965,-0.03690433536366888,-0.04099505013326554,-0.04381578947368414,-0.04800339847068835,-0.04900718208703014,-0.051777548310960375,-0.05598086124401913,-0.057021831215379626,-0.05991735537190079,-0.06260357208617195,-0.06375511795671673,-0.06501547987616096,-0.06751054852320681,-0.06883455969617847,-0.06967517976692295,-0.0734019501625135,-0.07268170426065168,-0.07309352517985601,-0.07663551401869162,-0.07877389584706651,-0.07918781725888313,-0.08201544685546147,-0.08637469586374691,-0.08873423227490218,-0.09201307800093406,-0.0943775100401606,-0.12146788990825685,-0.13881748071979438,-0.18335962145110407,-0.20710973724884074
200.0,90.0,-0.9178113117870722,-0.8932744565217391,-0.8956299452221546,-0.8913702733058779,-0.8819489685124864,-0.870499812100714,-0.8579185520361992,-0.843921568627451,-0.8298755186721991,-0.8149102907816045,-0.8009568173234294,-0.7855203619909502,-0.7724027133166727,-0.7586924838642515,-0.746031746031746,-0.7331315354980737,-0.72015625,-0.7091616554651574,-0.6960651828298887,-0.6829474621549421,-0.6705032386646737,-0.6354712041884817,-0.5955593509820666,-0.5490892936472679,-0.49200913242009137,-0.43270463285112615,-0.3670973696354407,-0.3005417735956658,-0.24057262569832405,-0.185077115464777,-0.13788098693759077,-0.10178970917225949,-0.07356608478802995,-0.05384615384615388,-0.041538461538461524,-0.033305578684429626,-0.02951699463327373,-0.027488151658767723,-0.028848156634034616,-0.02976764107506147,-0.03247048138056308,-0.035826296743064034,-0.03812976622077757,-0.04158255954784007,-0.04240235420010707,-0.0448367661482415,-0.04835531302107032,-0.049233627496516386,-0.05156326731052541,-0.05376532399299483,-0.054896142433234485,-0.05597014925373134,-0.05813953488372092,-0.05923581279674428,-0.05978260869565222,-0.06279069767441858,-0.062167906482465396,-0.06260296540362442,-0.0657542398095805,-0.06742281033396336,-0.06761565836298944,-0.07004575853572692,-0.07342657342657333,-0.07547956630525443,-0.0775784753363229,-0.08007718282682119,-0.09982174688057044,-0.11543287327478047,-0.1381084289671547,-0.15637216575449575
