Altitude_km,Inclination_deg,0.01_mmAl_rel_diff,0.1_mmAl_rel_diff,0.2_mmAl_rel_diff,0.3_mmAl_rel_diff,0.4_mmAl_rel_diff,0.5_mmAl_rel_diff,0.6_mmAl_rel_diff,0.7_mmAl_rel_diff,0.8_mmAl_rel_diff,0.9_mmAl_rel_diff,1.0_mmAl_rel_diff,1.1_mmAl_rel_diff,1.2_mmAl_rel_diff,1.3_mmAl_rel_diff,1.4_mmAl_rel_diff,1.5_mmAl_rel_diff,1.6_mmAl_rel_diff,1.7_mmAl_rel_diff,1.8_mmAl_rel_diff,1.9_mmAl_rel_diff,2.0_mmAl_rel_diff,2.25_mmAl_rel_diff,2.5_mmAl_rel_diff,2.75_mmAl_rel_diff,3.0_mmAl_rel_diff,3.25_mmAl_rel_diff,3.5_mmAl_rel_diff,3.75_mmAl_rel_diff,4.0_mmAl_rel_diff,4.25_mmAl_rel_diff,4.5_mmAl_rel_diff,4.75_mmAl_rel_diff,5.0_mmAl_rel_diff,5.25_mmAl_rel_diff,5.5_mmAl_rel_diff,5.75_mmAl_rel_diff,6.0_mmAl_rel_diff,6.25_mmAl_rel_diff,6.5_mmAl_rel_diff,6.75_mmAl_rel_diff,7.0_mmAl_rel_diff,7.25_mmAl_rel_diff,7.5_mmAl_rel_diff,7.75_mmAl_rel_diff,8.0_mmAl_rel_diff,8.25_mmAl_rel_diff,8.5_mmAl_rel_diff,8.75_mmAl_rel_diff,9.0_mmAl_rel_diff,9.5_mmAl_rel_diff,10.0_mmAl_rel_diff,10.5_mmAl_rel_diff,11.0_mmAl_rel_diff,11.5_mmAl_rel_diff,12.0_mmAl_rel_diff,12.5_mmAl_rel_diff,13.0_mmAl_rel_diff,13.5_mmAl_rel_diff,14.0_mmAl_rel_diff,14.5_mmAl_rel_diff,15.0_mmAl_rel_diff,16.0_mmAl_rel_diff,17.0_mmAl_rel_diff,18.0_mmAl_rel_diff,19.0_mmAl_rel_diff,20.0_mmAl_rel_diff,30.0_mmAl_rel_diff,40.0_mmAl_rel_diff,50.0_mmAl_rel_diff,100.0_mmAl_rel_diff
200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,10.0,-0.37245787332945957,-0.39225867358980404,-0.37416209628275443,-0.347622237106497,-0.33260032985156684,-0.28856526429341967,-0.315816017752673,-0.3298987386747202,-0.34963181148748157,-0.39144287664997723,-0.41747572815533984,-0.48207547169811316,-0.4009615384615385,-0.24184315970234682,-0.26335733232284964,-0.28131115459882583,-0.2960893854748603,-0.30757220921155337,-0.31666666666666665,-0.32474417457773397,-0.33182809093740273,-0.34732066912390147,-0.3635432667690732,-0.3787878787878788,-0.3871311388089911,-0.38844244859371313,-0.38829317522391826,-0.3875150380965111,-0.387014820042343,-0.38655961938745165,-0.3860690301421209,-0.38543371522094927,-0.3850102669404518,-0.3846153846153846,-0.3842007434944238,-0.3836490143022806,-0.3833500501504513,-0.38303181534622577,-0.38269479121825223,-0.38251001335113477,-0.3822651045256146,-0.38184403887177054,-0.3818714879061813,-0.3818867924528302,-0.3816300129366106,-0.381547460781707,-0.38138138138138145,-0.38123249299719886,-0.38110281447444005,-0.3808376016872552,-0.3804416403785489,-0.38023064250411853,-0.380281690140845,-0.3801859799713877,-0.3795539033457249,-0.37948322406478974,-0.37929656274980017,-0.37898220935043436,-0.37869062901155337,-0.3779840848806366,-0.3777372262773723,-0.37712069801260306,-0.3761562178828366,-0.3760869565217392,-0.3748564867967854,-0.37447065940713853,-0.3691876750700279,-0.3648080314746981,-0.36003584229390684,-0.3347036328871892
200.0,20.0,-0.3321428571428572,-0.31878831590335377,-0.29525616698292223,-0.26907881056352667,-0.24027834629553835,-0.21180811808118083,-0.1864610937123583,-0.1686427181029907,-0.1602639641762903,-0.15847310584152685,-0.1600400935516204,-0.16246290801186958,-0.16459253311922928,-0.1662393162393161,-0.16726780883678993,-0.1676056338028169,-0.1682879377431905,-0.16826680141485595,-0.16874999999999996,-0.1693376068376068,-0.1693989071038252,-0.17167630057803474,-0.1739652069586084,-0.17647058823529405,-0.17909496494582533,-0.1819960861056752,-0.18464592984778283,-0.18644067796610164,-0.18823529411764695,-0.19004207573632537,-0.1909871244635193,-0.19175108538350216,-0.1935007385524372,-0.19388516032811332,-0.1948249619482496,-0.1956689868522815,-0.1959247648902821,-0.19666931007137178,-0.19718196457326886,-0.19764610389610393,-0.19784232365145227,-0.19873524451939284,-0.1988879384088964,-0.19940068493150676,-0.19965337954939333,-0.20017889087656526,-0.2001800180018002,-0.20054694621695546,-0.2006451612903225,-0.20122641509433958,-0.2021113243761996,-0.20268123138033767,-0.20306435137895806,-0.20343488039255775,-0.20388451443569555,-0.20443079622724292,-0.2047702791822379,-0.20508531281365006,-0.20539442500846405,-0.20566473988439304,-0.2059384688766992,-0.2061729901183359,-0.20660436137071658,-0.2067338349700294,-0.20636839983877464,-0.20633597332221765,-0.20096119615521546,-0.19521264234255165,-0.18825860787713644,-0.15101316373317564
200.0,30.0,-0.23106745929180672,-0.18670591881004028,-0.19772296015180268,-0.2222222222222222,-0.24353835521769185,-0.2552747507535359,-0.2534908700322235,-0.24366767983789261,-0.22672872340425532,-0.20994295028524856,-0.19130850047755488,-0.18397689592469768,-0.17174580675643747,-0.16757996686631838,-0.16555479918311777,-0.16002302489566844,-0.1589882565492322,-0.1577282075620946,-0.1612639161755075,-0.1617647058823528,-0.15924567836563652,-0.1669464652117143,-0.16584694078300222,-0.16570486397361928,-0.1768577494692144,-0.17609509134932866,-0.17442385901491186,-0.18481772035071542,-0.18490386897697597,-0.1822815533980584,-0.19038224414303329,-0.18285280728376319,-0.1943164362519202,-0.18520461699895063,-0.18945678351618944,-0.19331158238172919,-0.19419889502762433,-0.19675796534376755,-0.1833188531711556,-0.19229655372140164,-0.19811042220253905,-0.19577039274924468,-0.2027439024390244,-0.17858267716535436,-0.20167806090739582,-0.21765264156912367,-0.19362261669953973,-0.202774108322325,-0.19288135593220346,-0.19442508710801387,-0.19551282051282048,-0.21056466302367938,-0.21078431372549022,-0.18934681181959556,-0.2020561486753657,-0.20760959470636886,-0.2054166666666667,-0.21178947368421053,-0.1927288655278142,-0.19577907498877412,-0.21845318860244223,-0.2153199439514245,-0.2019512195121952,-0.2025062656641604,-0.22652218782249733,-0.23228556206712836,-0.21637426900584789,-0.2653739612188365,-0.21231468455794822,-0.6976295479603087
200.0,40.0,-0.15735567970204845,-0.24519322292023604,-0.23760523854069227,-0.22639155470249517,-0.23640358908624792,-0.2638339920948617,-0.2935267857142857,-0.3117125110913931,-0.3123598469858858,-0.29692082111436946,-0.27324886445135077,-0.24815361890694243,-0.22638208537438775,-0.2097874047332532,-0.19711971197119704,-0.18866995073891635,-0.18220564730953648,-0.17836593785960875,-0.1754601226993865,-0.17326411421155086,-0.17144808743169404,-0.16950464396284826,-0.1653550042771601,-0.16189138576779016,-0.15670271373189149,-0.1513721185510427,-0.14587934441473904,-0.14176055466138426,-0.13806603158032105,-0.13520477352861393,-0.13345598641381262,-0.13210020390329147,-0.1316585956416464,-0.13128189268594403,-0.13186109777564414,-0.13234567901234562,-0.13294018534119634,-0.1336429308565532,-0.13441524078320688,-0.13505283897546116,-0.13618677042801564,-0.13731456827691135,-0.13826679649464457,-0.13882905815547297,-0.13971617029782135,-0.14127017396772168,-0.14194780394653095,-0.14291910648449357,-0.14364640883977897,-0.1454545454545455,-0.14703783012134186,-0.14889336016096566,-0.15050079072219302,-0.15141032464076631,-0.1527545909849749,-0.15453194650817237,-0.15486194477791115,-0.15578817733990136,-0.15643689014793827,-0.15676028739386028,-0.15749914588315683,-0.1582121319616886,-0.1583976479235576,-0.1586575133485889,-0.15927750410509023,-0.15998275118585603,-0.16569954867827208,-0.16710158434296374,-0.1640583413180028,-0.17753338570306365
200.0,50.0,-0.3388270061377586,-0.3981833195706028,-0.4106488123704767,-0.4164484023048717,-0.41804937272359366,-0.41725768321513,-0.4177723177723178,-0.4199134199134199,-0.4244830891414487,-0.4307203743941167,-0.4374751885668916,-0.44364896073903004,-0.44865007940709367,-0.45290941811637675,-0.4558029689608637,-0.4577358490566038,-0.4590163934426229,-0.46031746031746035,-0.46094154164511125,-0.46120343839541544,-0.46142131979695433,-0.4619360131255127,-0.46202463845741837,-0.46113400596845244,-0.4592365240744293,-0.45614959178298653,-0.45174311926605504,-0.4459948320413437,-0.43922287390029324,-0.43073231796369704,-0.42059388388240504,-0.4092135297779622,-0.39570200573065906,-0.38012374323279197,-0.3637755102040816,-0.34610389610389614,-0.32978382706164944,-0.3146387832699621,-0.30275027502750274,-0.29350777585781285,-0.286968264686023,-0.28139400921658986,-0.2783112330437433,-0.27861421401975073,-0.27609707446808507,-0.27601031814273425,-0.27692582025677603,-0.2767238234221088,-0.27753799962469505,-0.27791902992372386,-0.2797789602947196,-0.2807129217059199,-0.2804452204277609,-0.2834249084249084,-0.28363465602254057,-0.28522754928206384,-0.2871561948019178,-0.285459638400815,-0.2872957301001581,-0.28922908693275007,-0.28861111111111115,-0.2894049346879536,-0.28970543577285146,-0.29017998105462584,-0.28979323925172296,-0.29030054644808745,-0.2955882352941176,-0.2996005326231691,-0.29396284829721364,-0.33170254403131116
200.0,60.0,-0.3487458193979933,-0.33914510686164234,-0.33804269361658246,-0.3366288492706645,-0.3346987951807229,-0.3337879304466417,-0.334724153917478,-0.33779671332927574,-0.3437645236250968,-0.35095969289827256,-0.3589445542252703,-0.3666252244785191,-0.3736867625666721,-0.3798767967145791,-0.3852721451440768,-0.3894405425042383,-0.3932277444019662,-0.3960760269773145,-0.39849108367626884,-0.4006888633754305,-0.4020486555697823,-0.40514829322887524,-0.4054612546125461,-0.40324803149606303,-0.3987526539278131,-0.39171340691152523,-0.38176850471932444,-0.3687628161312372,-0.3533834586466166,-0.3358974358974359,-0.31559000861326436,-0.29398333143052857,-0.2703539823008849,-0.24747852073216292,-0.22473465620673738,-0.20315527262662614,-0.18411669367909245,-0.16734392316217206,-0.15623687526249475,-0.14474885844748853,-0.1383928571428572,-0.13372402770378256,-0.12977528089887636,-0.1288380493678507,-0.12492345376607472,-0.12460063897763574,-0.12669376693766932,-0.12560721721027057,-0.12735166425470335,-0.1277735271614383,-0.12781350482315113,-0.12857142857142856,-0.13100706713780919,-0.13274418604651161,-0.13278846153846158,-0.13681744091279535,-0.13648733514758227,-0.1367329484712423,-0.14023428700157692,-0.142119469545828,-0.14229296314025852,-0.14443317271113365,-0.1479025710419487,-0.14958054884117722,-0.1513973994918547,-0.15370108439415375,-0.1722302854378327,-0.18366655371060658,-0.1931530008453085,-0.20178942323054794
200.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,80.0,-0.30708390646492434,-0.29426915647134577,-0.2925623634900564,-0.290299823633157,-0.2872095991830482,-0.28460451977401124,-0.2838923004251299,-0.28457283343577133,-0.2878811571540266,-0.2925024342745862,-0.2982957931116673,-0.30315186246418335,-0.30833333333333335,-0.3124378109452737,-0.31581373905025356,-0.31825396825396823,-0.31937330521241336,-0.321025641025641,-0.3208782742681048,-0.3205017301038062,-0.32023289665211063,-0.3162612035851472,-0.30773109243697483,-0.29578392621870886,-0.27695800227014755,-0.25590334980779794,-0.22998375493153866,-0.2011544011544012,-0.17412935323383083,-0.14718430034129693,-0.12151394422310757,-0.10063620589936384,-0.08160621761658027,-0.06773488710852149,-0.0562700964630225,-0.04707933740191805,-0.040337711069418414,-0.035024875621890605,-0.03194398862268899,-0.02849099099099095,-0.02687208885704051,-0.026018530270338847,-0.025000000000000022,-0.025205324270744955,-0.023940290099985884,-0.024044844372326235,-0.02503987240829353,-0.024600847181492247,-0.025309917355371803,-0.02577794144724732,-0.026125950477675963,-0.02641898864809089,-0.027537197423939674,-0.02848326608117735,-0.02901066203818492,-0.030877573131094183,-0.030910609857978333,-0.031079136690647546,-0.032710280373831724,-0.03394858272907042,-0.034179357021996704,-0.03604266274365564,-0.03771289537712885,-0.03914745541539799,-0.04110228865016341,-0.04216867469879504,-0.05871559633027523,-0.06883747500714077,-0.09936908517350151,-0.11051004636785156
200.0,90.0,-0.30857889733840305,-0.29823369565217395,-0.29689592209373095,-0.29483339573193557,-0.2920738327904452,-0.2893649004133785,-0.28808446455505277,-0.28888888888888886,-0.2913692946058092,-0.29511239430810476,-0.29988669268538337,-0.30422322775263955,-0.30863977151017497,-0.3118884030814074,-0.31481481481481477,-0.31645569620253167,-0.3175,-0.31835868411743895,-0.31836248012718604,-0.31745325022261794,-0.3163926258096662,-0.31086387434554974,-0.3019641332194706,-0.2885384273656153,-0.2686929223744292,-0.24665812122321917,-0.2201199815413013,-0.19133162246934698,-0.16410614525139666,-0.1375573155481451,-0.11272375423318814,-0.09284116331096193,-0.0754364089775561,-0.06153846153846154,-0.05076923076923079,-0.042464612822647796,-0.035778175313059046,-0.03033175355450235,-0.028119141845448836,-0.024949138023342976,-0.023387829246139802,-0.022557297949336585,-0.021502687835979417,-0.021665993809716122,-0.020465489566613204,-0.020596889449348565,-0.021373351523419792,-0.021055891004799543,-0.02160746439679151,-0.02189141856392296,-0.02206973293768566,-0.02238805970149249,-0.023467230443974696,-0.024191725073479553,-0.024338374291115294,-0.025839793281653756,-0.025770456960680144,-0.026084568918176787,-0.027372805712585713,-0.02835538752362954,-0.028469750889679735,-0.029567053854276826,-0.03146853146853135,-0.03252710592160135,-0.033183856502242204,-0.034249879401833216,-0.0445632798573975,-0.05353408615641997,-0.060546102097348675,-0.06411258795934316
