ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.4,8000,80,9.47E-16
0.4,4000,30,3.18E-16
0.4,700,60,2.19E-17
0.4,20000,30,7.13E-15
0.4,600,20,2.94E-20
0.4,3000,80,4.52E-16
0.4,1300,80,5.72E-17
0.4,4000,0,8.39E-16
0.4,1700,40,1.09E-16
0.4,17500,90,4.26E-15
0.4,6000,80,4.78E-16
0.4,1900,0,2.91E-16
0.4,25000,30,2.86E-15
0.4,12500,0,5.81E-15
0.4,1100,70,5.17E-17
0.4,1000,30,8.11E-18
0.4,15000,90,4.57E-15
0.4,35800,60,7.31E-17
0.4,5000,40,4.08E-16
0.4,2500,70,4.06E-16
0.4,30000,80,3.95E-16
0.4,27500,30,1.66E-15
0.4,700,50,1.24E-17
0.4,600,10,1.74E-20
0.4,300,90,5.63E-18
0.4,1100,20,7.73E-18
0.4,30000,0,1.90E-15
0.4,1000,60,4.03E-17
0.4,22500,50,2.69E-15
0.4,25000,60,1.43E-15
0.4,1700,10,1.51E-16
0.4,1600,50,1.06E-16
0.4,1200,90,4.55E-17
0.4,7000,90,6.49E-16
0.4,15000,0,1.32E-14
0.4,4000,50,4.72E-16
0.4,200,80,4.56E-18
0.4,20000,50,4.16E-15
0.4,27500,60,8.35E-16
0.4,9000,0,4.24E-17
0.4,600,40,1.17E-18
0.4,2500,20,8.36E-16
0.4,5000,10,1.66E-16
0.4,35800,30,1.36E-16
0.4,3000,10,1.44E-15
0.4,600,0,1.56E-20
0.4,9000,50,2.26E-15
0.4,30000,20,1.30E-15
0.4,27500,90,7.13E-16
0.4,200,70,5.77E-18
0.4,1500,0,5.02E-17
0.4,300,30,2.68E-21
0.4,8000,10,2.21E-17
0.4,1800,40,1.42E-16
0.4,2000,50,2.39E-16
0.4,400,40,2.70E-19
0.4,15000,30,1.07E-14
0.4,1400,50,6.84E-17
0.4,25000,90,1.22E-15
0.4,1500,10,5.91E-17
0.4,6000,20,2.45E-17
0.4,1000,90,3.18E-17
0.4,800,50,1.64E-17
0.4,900,10,1.82E-19
0.4,1200,60,5.85E-17
0.4,7000,60,9.40E-16
0.4,1300,20,2.77E-17
0.4,17500,30,9.96E-15
0.4,35800,90,6.39E-17
0.4,400,10,3.37E-21
0.4,2500,80,3.64E-16
0.4,12500,50,5.06E-15
0.4,500,50,5.95E-18
0.4,15000,60,5.43E-15
0.4,1800,10,2.21E-16
0.4,8000,40,1.61E-15
0.4,1900,50,2.01E-16
0.4,200,20,1.51E-21
0.4,300,60,7.26E-18
0.4,3000,40,5.83E-16
0.4,30000,70,4.16E-16
0.4,10000,50,2.92E-15
0.4,17500,60,5.02E-15
0.4,7000,30,5.89E-16
0.4,1200,30,2.11E-17
0.4,1300,70,7.21E-17
0.4,6000,0,3.07E-17
0.4,900,40,5.67E-18
0.4,1100,80,4.03E-17
0.4,200,0,0
0.4,6000,70,5.37E-16
0.4,1100,0,1.32E-18
0.4,1500,40,6.02E-17
0.4,1000,70,4.39E-17
0.4,1100,30,1.32E-17
0.4,25000,70,1.31E-15
0.4,22500,40,3.39E-15
0.4,1600,40,8.15E-17
0.4,500,0,7.65E-21
0.4,7000,80,6.68E-16
0.4,1200,80,4.81E-17
0.4,1600,0,8.73E-17
0.4,5000,0,1.84E-16
0.4,200,90,4.19E-18
0.4,4000,40,4.23E-16
0.4,600,50,8.83E-18
0.4,27500,70,7.63E-16
0.4,20000,40,5.27E-15
0.4,700,10,3.79E-20
0.4,35800,20,2.15E-16
0.4,2500,30,5.84E-16
0.4,27500,0,3.34E-15
0.4,1300,90,5.41E-17
0.4,1600,10,9.81E-17
0.4,17500,80,4.33E-15
0.4,20000,0,1.22E-14
0.4,1700,50,1.33E-16
0.4,22500,10,7.81E-15
0.4,25000,20,3.95E-15
0.4,6000,90,4.62E-16
0.4,1000,20,3.57E-18
0.4,1100,60,4.85E-17
0.4,2500,0,1.14E-15
0.4,2500,60,4.55E-16
0.4,1200,0,4.19E-18
0.4,5000,50,5.24E-16
0.4,35800,70,6.73E-17
0.4,15000,80,4.65E-15
0.4,8000,0,5.71E-18
0.4,20000,10,1.14E-14
0.4,700,40,2.17E-18
0.4,30000,90,3.89E-16
0.4,27500,20,2.34E-15
0.4,300,80,6.14E-18
0.4,4000,10,7.32E-16
0.4,500,40,6.02E-19
0.4,15000,70,4.92E-15
0.4,12500,40,6.60E-15
0.4,2500,90,3.55E-16
0.4,35800,80,6.45E-17
0.4,2000,10,4.14E-16
0.4,1900,40,1.81E-16
0.4,8000,50,1.70E-15
0.4,900,0,1.27E-19
0.4,300,70,7.55E-18
0.4,200,30,5.71E-22
0.4,9000,10,1.66E-16
0.4,30000,60,4.54E-16
0.4,3000,50,5.65E-16
0.4,17500,70,4.57E-15
0.4,10000,40,3.51E-15
0.4,1300,60,7.20E-17
0.4,1200,20,1.53E-17
0.4,7000,20,6.58E-17
0.4,1100,90,3.79E-17
0.4,900,50,2.12E-17
0.4,800,10,7.32E-20
0.4,1500,50,8.58E-17
0.4,6000,60,7.13E-16
0.4,1400,10,3.17E-17
0.4,30000,30,8.97E-16
0.4,27500,80,7.25E-16
0.4,9000,40,2.46E-15
0.4,300,20,3.99E-21
0.4,200,60,5.41E-18
0.4,1900,10,3.10E-16
0.4,2000,40,2.25E-16
0.4,1800,50,1.65E-16
0.4,12500,10,6.50E-15
0.4,15000,20,1.26E-14
0.4,500,10,8.08E-21
0.4,400,50,3.61E-18
0.4,6000,30,2.44E-16
0.4,25000,80,1.24E-15
0.4,1400,40,4.27E-17
0.4,7000,0,1.03E-17
0.4,800,40,3.52E-18
0.4,1000,80,3.40E-17
0.4,1300,30,3.31E-17
0.4,7000,70,7.39E-16
0.4,1200,70,6.11E-17
0.4,10000,10,8.18E-16
0.4,17500,20,1.28E-14
0.17,4000,80,9.96E-15
0.17,300,10,4.11E-21
0.17,200,50,2.06E-17
0.17,9000,70,2.60E-14
0.17,20000,80,7.61E-14
0.17,600,90,2.56E-16
0.17,3000,30,2.15E-14
0.17,12500,20,1.17E-13
0.17,15000,10,1.89E-13
0.17,500,20,1.57E-19
0.17,400,60,1.65E-16
0.17,1900,20,8.39E-15
0.17,2000,70,5.74E-15
0.17,1800,60,4.22E-15
0.17,8000,30,2.00E-14
0.17,900,30,1.40E-16
0.17,800,70,5.74E-16
0.17,1500,30,2.19E-15
0.17,17500,0,2.56E-13
0.17,22500,80,5.71E-14
0.17,1400,70,1.82E-15
0.17,1000,0,9.95E-18
0.17,10000,20,3.73E-14
0.17,1600,80,2.31E-15
0.17,17500,10,2.54E-13
0.17,300,0,0
0.17,7000,40,1.80E-14
0.17,1200,40,5.77E-16
0.17,2000,20,1.09E-14
0.17,1900,70,4.84E-15
0.17,1400,0,7.27E-16
0.17,8000,60,2.37E-14
0.17,1800,30,5.51E-15
0.17,500,70,2.55E-16
0.17,15000,40,1.44E-13
0.17,12500,70,6.22E-14
0.17,400,30,7.97E-19
0.17,700,0,2.91E-19
0.17,5000,90,7.76E-15
0.17,700,80,3.65E-16
0.17,9000,20,1.79E-14
0.17,30000,50,1.88E-14
0.17,10000,0,1.57E-14
0.17,3000,60,1.50E-14
0.17,300,40,2.94E-18
0.17,1300,50,1.20E-15
0.17,1200,10,1.76E-16
0.17,7000,10,1.44E-15
0.17,1700,90,2.74E-15
0.17,17500,40,1.50E-13
0.17,10000,70,3.49E-14
0.17,1500,60,2.24E-15
0.17,6000,50,1.46E-14
0.17,1400,20,1.34E-15
0.17,900,60,6.13E-16
0.17,800,20,1.19E-17
0.17,1600,20,3.11E-15
0.17,10000,80,3.24E-14
0.17,1700,60,3.43E-15
0.17,1000,10,1.62E-17
0.17,1100,50,7.10E-16
0.17,900,90,5.15E-16
0.17,22500,20,1.75E-13
0.17,25000,10,1.48E-13
0.17,35800,0,1.82E-14
0.17,1500,90,1.77E-15
0.17,2500,50,1.21E-14
0.17,35800,40,4.82E-15
0.17,5000,60,1.19E-14
0.17,500,80,2.11E-16
0.17,12500,80,5.84E-14
0.17,8000,90,1.69E-14
0.17,1900,80,4.27E-15
0.17,4000,20,2.01E-14
0.17,3000,90,1.20E-14
0.17,600,30,1.59E-17
0.17,700,70,4.58E-16
0.17,20000,20,2.25E-13
0.17,27500,10,9.66E-14
0.17,25000,40,6.38E-14
0.17,22500,70,6.02E-14
0.17,1400,80,1.50E-15
0.17,3000,0,5.21E-14
0.17,800,80,4.55E-16
0.17,1000,40,2.56E-16
0.17,1600,70,2.73E-15
0.17,1700,30,4.17E-15
0.17,1800,0,6.02E-15
0.17,600,60,3.08E-16
0.17,27500,40,3.96E-14
0.17,9000,80,2.39E-14
0.17,700,20,2.45E-18
0.17,20000,70,8.03E-14
0.17,4000,70,1.11E-14
0.17,1800,90,3.38E-15
0.17,2000,80,5.09E-15
0.17,5000,30,5.35E-15
0.17,35800,10,1.57E-14
0.17,400,90,1.40E-16
0.17,22500,0,2.29E-13
0.17,1800,20,6.22E-15
0.17,8000,70,1.91E-14
0.17,1900,60,5.15E-15
0.17,2000,30,8.88E-15
0.17,5000,80,8.04E-15
0.17,400,20,6.23E-20
0.17,12500,60,7.02E-14
0.17,500,60,2.26E-16
0.17,15000,50,1.11E-13
0.17,3000,70,1.34E-14
0.17,30000,40,2.34E-14
0.17,9000,30,3.49E-14
0.17,700,90,3.31E-16
0.17,200,10,0
0.17,300,50,3.50E-17
0.17,1300,40,8.32E-16
0.17,10000,60,4.08E-14
0.17,17500,50,1.17E-13
0.17,1700,80,2.85E-15
0.17,1400,30,1.50E-15
0.17,6000,40,1.16E-14
0.17,1500,70,2.24E-15
0.17,800,30,7.59E-17
0.17,900,70,7.03E-16
0.17,200,40,5.44E-19
0.17,800,0,8.35E-19
0.17,4000,90,9.67E-15
0.17,3000,20,3.24E-14
0.17,600,80,2.79E-16
0.17,20000,90,7.48E-14
0.17,9000,60,3.12E-14
0.17,30000,10,5.96E-14
0.17,400,70,1.84E-16
0.17,500,30,4.59E-18
0.17,12500,30,1.22E-13
0.17,8000,20,7.23E-15
0.17,1800,70,4.01E-15
0.17,2000,60,6.15E-15
0.17,1900,30,7.08E-15
0.17,800,60,4.89E-16
0.17,900,20,4.05E-17
0.17,1400,60,1.79E-15
0.17,22500,90,5.62E-14
0.17,1500,20,2.08E-15
0.17,6000,10,2.89E-15
0.17,1600,90,2.22E-15
0.17,10000,30,5.57E-14
0.17,1200,50,9.40E-16
0.17,25000,0,1.60E-13
0.17,7000,50,2.13E-14
0.17,1300,10,4.34E-16
0.17,1400,90,1.42E-15
0.17,22500,60,6.61E-14
0.17,25000,50,5.07E-14
0.17,1100,10,5.80E-17
0.17,1000,50,5.38E-16
0.17,800,90,4.18E-16
0.17,1700,20,4.45E-15
0.17,1600,60,2.79E-15
0.17,700,30,3.82E-17
0.17,20000,60,8.83E-14
0.17,9000,90,2.33E-14
0.17,27500,50,3.17E-14
0.17,1300,0,3.23E-16
0.17,600,70,3.49E-16
0.17,4000,60,1.33E-14
0.17,2000,90,4.94E-15
0.17,1800,80,3.50E-15
0.17,2500,10,3.11E-14
0.17,400,80,1.54E-16
0.17,5000,20,7.09E-15
0.17,1700,70,3.30E-15
0.17,10000,90,3.16E-14
0.17,1600,30,3.07E-15
0.17,900,80,5.59E-16
0.17,1700,0,4.01E-15
0.17,1100,40,3.78E-16
0.17,400,0,0
0.17,1500,80,1.86E-15
0.17,22500,30,1.32E-13
0.17,2000,0,1.15E-14
0.17,12500,90,5.73E-14
0.17,500,90,1.93E-16
0.17,5000,70,9.13E-15
0.17,35800,50,3.99E-15
0.17,2500,40,1.31E-14
0.17,1900,90,4.14E-15
0.17,8000,80,1.74E-14
0.17,4000,30,1.30E-14
0.17,700,60,3.92E-16
0.17,20000,30,1.76E-13
0.17,600,20,4.99E-19
0.17,3000,80,1.22E-14
0.17,1300,80,1.22E-15
0.17,4000,0,3.28E-14
0.17,1700,40,3.08E-15
0.17,17500,90,8.34E-14
0.17,6000,80,9.19E-15
0.17,1900,0,8.42E-15
0.17,25000,30,8.75E-14
0.17,12500,0,9.17E-14
0.17,1100,70,1.02E-15
0.17,1000,30,2.38E-16
0.17,15000,90,7.68E-14
0.17,35800,60,3.51E-15
0.17,5000,40,9.32E-15
0.17,2500,70,1.06E-14
0.17,30000,80,1.42E-14
0.17,27500,30,5.47E-14
0.17,700,50,2.24E-16
0.17,600,10,1.83E-19
0.17,300,90,1.00E-16
0.17,1100,20,2.25E-16
0.17,30000,0,6.56E-14
0.17,1000,60,7.61E-16
0.17,22500,50,7.65E-14
0.17,25000,60,4.39E-14
0.17,1700,10,4.34E-15
0.17,1600,50,2.56E-15
0.17,1200,90,9.43E-16
0.17,7000,90,1.21E-14
0.17,15000,0,1.82E-13
0.17,4000,50,1.27E-14
0.17,200,80,8.03E-17
0.17,20000,50,1.03E-13
0.17,27500,60,2.75E-14
0.17,9000,0,3.95E-15
0.17,600,40,3.51E-17
0.17,2500,20,2.48E-14
0.17,5000,10,1.03E-14
0.17,35800,30,6.55E-15
0.17,3000,10,4.36E-14
0.17,600,0,1.14E-19
0.17,9000,50,4.07E-14
0.17,30000,20,4.60E-14
0.17,27500,90,2.35E-14
0.17,200,70,1.01E-16
0.17,1500,0,1.43E-15
0.17,300,30,3.78E-20
0.17,8000,10,2.09E-15
0.17,1800,40,4.04E-15
0.17,2000,50,6.19E-15
0.17,400,40,8.13E-18
0.17,15000,30,1.75E-13
0.17,1400,50,1.54E-15
0.17,25000,90,3.74E-14
0.17,1500,10,1.69E-15
0.17,6000,20,2.28E-15
0.17,1000,90,6.28E-16
0.17,800,50,3.07E-16
0.17,900,10,4.37E-18
0.17,1200,60,1.17E-15
0.17,7000,60,1.78E-14
0.17,1300,20,8.09E-16
0.17,17500,30,1.95E-13
0.17,35800,90,3.07E-15
0.17,400,10,2.06E-20
0.17,2500,80,9.66E-15
0.17,12500,50,8.72E-14
0.17,500,50,1.01E-16
0.17,15000,60,9.22E-14
0.17,1800,10,6.37E-15
0.17,8000,40,2.86E-14
0.17,1900,50,5.11E-15
0.17,200,20,7.35E-21
0.17,300,60,1.23E-16
0.17,3000,40,1.68E-14
0.17,30000,70,1.50E-14
0.17,10000,50,5.31E-14
0.17,17500,60,9.89E-14
0.17,7000,30,1.02E-14
0.17,1200,30,6.24E-16
0.17,1300,70,1.49E-15
0.17,6000,0,3.16E-15
0.17,900,40,1.67E-16
0.17,1100,80,8.16E-16
0.17,200,0,0
0.17,6000,70,1.04E-14
0.17,1100,0,3.81E-17
0.17,1500,40,1.71E-15
0.17,1000,70,8.46E-16
0.17,1100,30,3.88E-16
0.17,25000,70,4.00E-14
0.17,22500,40,9.69E-14
0.17,1600,40,2.31E-15
0.17,500,0,3.99E-20
0.17,7000,80,1.24E-14
0.17,1200,80,9.99E-16
0.17,1600,0,2.49E-15
0.17,5000,0,1.17E-14
0.17,200,90,7.31E-17
0.17,4000,40,1.25E-14
0.17,600,50,1.55E-16
0.17,27500,70,2.51E-14
0.17,20000,40,1.31E-13
0.17,700,10,5.07E-19
0.17,35800,20,1.04E-14
0.17,2500,30,1.76E-14
0.17,27500,0,1.06E-13
0.17,1300,90,1.15E-15
0.17,1600,10,2.81E-15
0.17,17500,80,8.48E-14
0.17,20000,0,2.75E-13
0.17,1700,50,3.25E-15
0.17,22500,10,2.13E-13
0.17,25000,20,1.19E-13
0.17,6000,90,8.88E-15
0.17,1000,20,1.03E-16
0.17,1100,60,9.37E-16
0.17,2500,0,3.32E-14
0.17,2500,60,1.17E-14
0.17,1200,0,1.22E-16
0.17,5000,50,1.11E-14
0.17,35800,70,3.23E-15
0.17,15000,80,7.82E-14
0.17,8000,0,1.37E-15
0.17,20000,10,2.62E-13
0.17,700,40,6.50E-17
0.17,30000,90,1.40E-14
0.17,27500,20,7.61E-14
0.17,300,80,1.10E-16
0.17,4000,10,2.86E-14
0.17,500,40,1.81E-17
0.17,15000,70,8.29E-14
0.17,12500,40,1.10E-13
0.17,2500,90,9.45E-15
0.17,35800,80,3.09E-15
0.17,2000,10,1.20E-14
0.17,1900,40,5.15E-15
0.17,8000,50,3.01E-14
0.17,900,0,2.57E-18
0.17,300,70,1.33E-16
0.17,200,30,4.42E-21
0.17,9000,10,6.82E-15
0.17,30000,60,1.64E-14
0.17,3000,50,1.55E-14
0.17,17500,70,8.96E-14
0.17,10000,40,6.03E-14
0.17,1300,60,1.46E-15
0.17,1200,20,4.46E-16
0.17,7000,20,2.67E-15
0.17,1100,90,7.65E-16
0.17,900,50,4.08E-16
0.17,800,10,1.30E-18
0.17,1500,50,2.01E-15
0.17,6000,60,1.38E-14
0.17,1400,10,9.10E-16
0.17,30000,30,3.25E-14
0.17,27500,80,2.39E-14
0.17,9000,40,4.28E-14
0.17,300,20,2.43E-20
0.17,200,60,9.10E-17
0.17,1900,10,8.97E-15
0.17,2000,40,6.41E-15
0.17,1800,50,4.12E-15
0.17,12500,10,9.94E-14
0.17,15000,20,1.93E-13
0.17,500,10,6.41E-20
0.17,400,50,5.87E-17
0.17,6000,30,5.05E-15
0.17,25000,80,3.80E-14
0.17,1400,40,1.22E-15
0.17,7000,0,1.46E-15
0.17,800,40,1.05E-16
0.17,1000,80,6.74E-16
0.17,1300,30,9.75E-16
0.17,7000,70,1.38E-14
0.17,1200,70,1.23E-15
0.17,10000,10,2.09E-14
0.17,17500,20,2.34E-13
0.03,4000,80,1.01E-12
0.03,300,10,9.32E-21
0.03,200,50,2.64E-16
0.03,9000,70,6.53E-13
0.03,20000,80,1.17E-12
0.03,600,90,4.31E-15
0.03,3000,30,1.53E-12
0.03,12500,20,1.27E-12
0.03,15000,10,1.89E-12
0.03,500,20,6.11E-18
0.03,400,60,2.26E-15
0.03,1900,20,6.03E-13
0.03,2000,70,2.96E-13
0.03,1800,60,2.19E-13
0.03,8000,30,1.26E-12
0.03,900,30,1.15E-14
0.03,800,70,1.08E-14
0.03,1500,30,1.72E-13
0.03,17500,0,2.66E-12
0.03,22500,80,1.09E-12
0.03,1400,70,7.06E-14
0.03,1000,0,1.67E-15
0.03,10000,20,1.00E-12
0.03,1600,80,1.16E-13
0.03,17500,10,2.72E-12
0.03,300,0,0
0.03,7000,40,1.20E-12
0.03,1200,40,4.60E-14
0.03,2000,20,7.48E-13
0.03,1900,70,2.48E-13
0.03,1400,0,1.04E-13
0.03,8000,60,8.25E-13
0.03,1800,30,3.93E-13
0.03,500,70,3.81E-15
0.03,15000,40,1.73E-12
0.03,12500,70,7.53E-13
0.03,400,30,5.19E-17
0.03,700,0,5.79E-18
0.03,5000,90,1.05E-12
0.03,700,80,6.59E-15
0.03,9000,20,1.24E-12
0.03,30000,50,6.47E-13
0.03,10000,0,1.12E-12
0.03,3000,60,8.20E-13
0.03,300,40,2.21E-16
0.03,1300,50,5.91E-14
0.03,1200,10,2.81E-14
0.03,7000,10,2.44E-12
0.03,1700,90,1.45E-13
0.03,17500,40,2.01E-12
0.03,10000,70,6.11E-13
0.03,1500,60,1.02E-13
0.03,6000,50,1.23E-12
0.03,1400,20,1.22E-13
0.03,900,60,1.39E-14
0.03,800,20,1.30E-15
0.03,1600,20,2.60E-13
0.03,10000,80,5.68E-13
0.03,1700,60,1.73E-13
0.03,1000,10,2.90E-15
0.03,1100,50,2.82E-14
0.03,900,90,1.19E-14
0.03,22500,20,3.14E-12
0.03,25000,10,3.15E-12
0.03,35800,0,9.08E-13
0.03,1500,90,8.42E-14
0.03,2500,50,6.65E-13
0.03,35800,40,2.81E-13
0.03,5000,60,1.27E-12
0.03,500,80,3.28E-15
0.03,12500,80,7.05E-13
0.03,8000,90,6.56E-13
0.03,1900,80,2.32E-13
0.03,4000,20,3.05E-12
0.03,3000,90,6.90E-13
0.03,600,30,1.13E-15
0.03,700,70,7.79E-15
0.03,20000,20,3.18E-12
0.03,27500,10,2.49E-12
0.03,25000,40,1.53E-12
0.03,22500,70,1.15E-12
0.03,1400,80,6.39E-14
0.03,3000,0,2.73E-12
0.03,800,80,9.07E-15
0.03,1000,40,1.97E-14
0.03,1600,70,1.26E-13
0.03,1700,30,3.07E-13
0.03,1800,0,5.42E-13
0.03,600,60,4.99E-15
0.03,27500,40,1.15E-12
0.03,9000,80,6.08E-13
0.03,700,20,2.85E-16
0.03,20000,70,1.24E-12
0.03,4000,70,1.07E-12
0.03,1800,90,1.84E-13
0.03,2000,80,2.76E-13
0.03,5000,30,2.25E-12
0.03,35800,10,8.19E-13
0.03,400,90,2.01E-15
0.03,22500,0,3.74E-12
0.03,1800,20,4.72E-13
0.03,8000,70,7.17E-13
0.03,1900,60,2.69E-13
0.03,2000,30,5.95E-13
0.03,5000,80,1.07E-12
0.03,400,20,9.18E-19
0.03,12500,60,8.62E-13
0.03,500,60,3.38E-15
0.03,15000,50,1.37E-12
0.03,3000,70,7.48E-13
0.03,30000,40,8.16E-13
0.03,9000,30,1.09E-12
0.03,700,90,6.07E-15
0.03,200,10,0
0.03,300,50,5.58E-16
0.03,1300,40,6.72E-14
0.03,10000,60,7.11E-13
0.03,17500,50,1.56E-12
0.03,1700,80,1.49E-13
0.03,1400,30,1.22E-13
0.03,6000,40,1.45E-12
0.03,1500,70,9.57E-14
0.03,800,30,6.06E-15
0.03,900,70,1.47E-14
0.03,200,40,3.96E-17
0.03,800,0,4.37E-17
0.03,4000,90,9.91E-13
0.03,3000,20,2.06E-12
0.03,600,80,4.68E-15
0.03,20000,90,1.15E-12
0.03,9000,60,7.57E-13
0.03,30000,10,1.88E-12
0.03,400,70,2.57E-15
0.03,500,30,3.08E-16
0.03,12500,30,1.38E-12
0.03,8000,20,1.54E-12
0.03,1800,70,2.02E-13
0.03,2000,60,3.22E-13
0.03,1900,30,4.88E-13
0.03,800,60,9.91E-15
0.03,900,20,4.24E-15
0.03,1400,60,7.49E-14
0.03,22500,90,1.07E-12
0.03,1500,20,1.83E-13
0.03,6000,10,3.41E-12
0.03,1600,90,1.13E-13
0.03,10000,30,1.00E-12
0.03,1200,50,4.15E-14
0.03,25000,0,3.32E-12
0.03,7000,50,1.04E-12
0.03,1300,10,5.92E-14
0.03,1400,90,6.22E-14
0.03,22500,60,1.27E-12
0.03,25000,50,1.20E-12
0.03,1100,10,1.01E-14
0.03,1000,50,1.92E-14
0.03,800,90,8.43E-15
0.03,1700,20,3.56E-13
0.03,1600,60,1.35E-13
0.03,700,30,2.90E-15
0.03,20000,60,1.37E-12
0.03,9000,90,5.95E-13
0.03,27500,50,9.03E-13
0.03,1300,0,5.20E-14
0.03,600,70,5.56E-15
0.03,4000,60,1.19E-12
0.03,2000,90,2.71E-13
0.03,1800,80,1.88E-13
0.03,2500,10,1.70E-12
0.03,400,80,2.21E-15
0.03,5000,20,3.24E-12
0.03,1700,70,1.61E-13
0.03,10000,90,5.56E-13
0.03,1600,30,2.33E-13
0.03,900,80,1.27E-14
0.03,1700,0,3.99E-13
0.03,1100,40,2.99E-14
0.03,400,0,0
0.03,1500,80,8.69E-14
0.03,22500,30,2.51E-12
0.03,2000,0,8.66E-13
0.03,12500,90,6.90E-13
0.03,500,90,3.01E-15
0.03,5000,70,1.14E-12
0.03,35800,50,2.30E-13
0.03,2500,40,8.14E-13
0.03,1900,90,2.27E-13
0.03,8000,80,6.70E-13
0.03,4000,30,2.20E-12
0.03,700,60,7.01E-15
0.03,20000,30,2.68E-12
0.03,600,20,4.58E-17
0.03,3000,80,7.03E-13
0.03,1300,80,4.72E-14
0.03,4000,0,4.20E-12
0.03,1700,40,2.34E-13
0.03,17500,90,1.08E-12
0.03,6000,80,9.11E-13
0.03,1900,0,6.91E-13
0.03,25000,30,2.06E-12
0.03,12500,0,1.06E-12
0.03,1100,70,2.72E-14
0.03,1000,30,2.00E-14
0.03,15000,90,9.17E-13
0.03,35800,60,2.02E-13
0.03,5000,40,1.70E-12
0.03,2500,70,5.37E-13
0.03,30000,80,4.86E-13
0.03,27500,30,1.55E-12
0.03,700,50,5.71E-15
0.03,600,10,3.23E-18
0.03,300,90,1.34E-15
0.03,1100,20,2.29E-14
0.03,30000,0,2.02E-12
0.03,1000,60,1.95E-14
0.03,22500,50,1.48E-12
0.03,25000,60,1.03E-12
0.03,1700,10,3.86E-13
0.03,1600,50,1.51E-13
0.03,1200,90,3.30E-14
0.03,7000,90,7.37E-13
0.03,15000,0,1.82E-12
0.03,4000,50,1.34E-12
0.03,200,80,1.01E-15
0.03,20000,50,1.62E-12
0.03,27500,60,7.79E-13
0.03,9000,0,1.61E-12
0.03,600,40,2.67E-15
0.03,2500,20,1.44E-12
0.03,5000,10,4.27E-12
0.03,35800,30,3.89E-13
0.03,3000,10,2.50E-12
0.03,600,0,8.67E-19
0.03,9000,50,9.02E-13
0.03,30000,20,1.52E-12
0.03,27500,90,6.63E-13
0.03,200,70,1.25E-15
0.03,1500,0,1.76E-13
0.03,300,30,2.81E-18
0.03,8000,10,1.92E-12
0.03,1800,40,2.98E-13
0.03,2000,50,3.65E-13
0.03,400,40,6.16E-16
0.03,15000,30,1.98E-12
0.03,1400,50,8.26E-14
0.03,25000,90,8.78E-13
0.03,1500,10,1.81E-13
0.03,6000,20,2.59E-12
0.03,1000,90,1.65E-14
0.03,800,50,8.78E-15
0.03,900,10,7.01E-16
0.03,1200,60,3.94E-14
0.03,7000,60,9.15E-13
0.03,1300,20,7.63E-14
0.03,17500,30,2.46E-12
0.03,35800,90,1.76E-13
0.03,400,10,8.46E-20
0.03,2500,80,5.04E-13
0.03,12500,50,1.08E-12
0.03,500,50,2.09E-15
0.03,15000,60,1.12E-12
0.03,1800,10,5.22E-13
0.03,8000,40,1.08E-12
0.03,1900,50,3.04E-13
0.03,200,20,2.42E-20
0.03,300,60,1.56E-15
0.03,3000,40,1.14E-12
0.03,30000,70,5.11E-13
0.03,10000,50,8.71E-13
0.03,17500,60,1.30E-12
0.03,7000,30,1.46E-12
0.03,1200,30,5.34E-14
0.03,1300,70,5.23E-14
0.03,6000,0,3.82E-12
0.03,900,40,1.27E-14
0.03,1100,80,2.40E-14
0.03,200,0,0
0.03,6000,70,9.70E-13
0.03,1100,0,6.96E-15
0.03,1500,40,1.35E-13
0.03,1000,70,1.99E-14
0.03,1100,30,3.31E-14
0.03,25000,70,9.41E-13
0.03,22500,40,1.90E-12
0.03,1600,40,1.80E-13
0.03,500,0,1.31E-19
0.03,7000,80,7.52E-13
0.03,1200,80,3.43E-14
0.03,1600,0,2.73E-13
0.03,5000,0,4.81E-12
0.03,200,90,9.15E-16
0.03,4000,40,1.62E-12
0.03,600,50,3.53E-15
0.03,27500,70,7.10E-13
0.03,20000,40,2.09E-12
0.03,700,10,2.07E-17
0.03,35800,20,5.94E-13
0.03,2500,30,1.09E-12
0.03,27500,0,2.66E-12
0.03,1300,90,4.58E-14
0.03,1600,10,2.73E-13
0.03,17500,80,1.10E-12
0.03,20000,0,3.46E-12
0.03,1700,50,1.94E-13
0.03,22500,10,3.59E-12
0.03,25000,20,2.67E-12
0.03,6000,90,8.94E-13
0.03,1000,20,1.07E-14
0.03,1100,60,2.74E-14
0.03,2500,0,1.81E-12
0.03,2500,60,5.87E-13
0.03,1200,0,2.13E-14
0.03,5000,50,1.42E-12
0.03,35800,70,1.86E-13
0.03,15000,80,9.35E-13
0.03,8000,0,2.04E-12
0.03,20000,10,3.43E-12
0.03,700,40,4.86E-15
0.03,30000,90,4.78E-13
0.03,27500,20,2.06E-12
0.03,300,80,1.48E-15
0.03,4000,10,3.86E-12
0.03,500,40,1.34E-15
0.03,15000,70,9.94E-13
0.03,12500,40,1.29E-12
0.03,2500,90,4.95E-13
0.03,35800,80,1.78E-13
0.03,2000,10,8.48E-13
0.03,1900,40,3.68E-13
0.03,8000,50,9.59E-13
0.03,900,0,2.96E-16
0.03,300,70,1.75E-15
0.03,200,30,9.75E-20
