ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.02,12500,0,1.57E-12
0.02,1100,70,5.49E-14
0.02,1000,30,4.73E-14
0.02,15000,90,1.34E-12
0.02,35800,60,3.76E-13
0.02,5000,40,3.96E-12
0.02,2500,70,1.21E-12
0.02,30000,80,8.26E-13
0.02,27500,30,2.55E-12
0.02,700,50,1.16E-14
0.02,600,10,6.11E-18
0.02,300,90,2.06E-15
0.02,1100,20,5.52E-14
0.02,30000,0,3.36E-12
0.02,1000,60,3.93E-14
0.02,22500,50,2.28E-12
0.02,25000,60,1.64E-12
0.02,1700,10,9.19E-13
0.02,1600,50,3.46E-13
0.02,1200,90,7.05E-14
0.02,7000,90,1.61E-12
0.02,15000,0,2.61E-12
0.02,4000,50,3.09E-12
0.02,200,80,1.51E-15
0.02,20000,50,2.44E-12
0.02,27500,60,1.28E-12
0.02,9000,0,3.62E-12
0.02,600,40,6.26E-15
0.02,2500,20,3.29E-12
0.02,5000,10,1.01E-11
0.02,35800,30,7.27E-13
0.02,3000,10,5.70E-12
0.02,600,0,1.41E-18
0.02,9000,50,1.64E-12
0.02,30000,20,2.56E-12
0.02,27500,90,1.09E-12
0.02,200,70,1.86E-15
0.02,1500,0,4.27E-13
0.02,300,30,6.67E-18
0.02,8000,10,4.49E-12
0.02,1800,40,6.96E-13
0.02,2000,50,8.36E-13
0.02,400,40,1.44E-15
0.02,15000,30,2.88E-12
0.02,1400,50,1.88E-13
0.02,25000,90,1.39E-12
0.02,1500,10,4.35E-13
0.02,6000,20,6.11E-12
0.02,1000,90,3.31E-14
0.02,800,50,1.82E-14
0.02,900,10,1.72E-15
0.02,1200,60,8.41E-14
0.02,7000,60,1.96E-12
0.02,1300,20,1.83E-13
0.02,17500,30,3.61E-12
0.02,35800,90,3.27E-13
0.02,400,10,1.13E-19
0.02,2500,80,1.14E-12
0.02,12500,50,1.59E-12
0.02,500,50,4.04E-15
0.02,15000,60,1.64E-12
0.02,1800,10,1.23E-12
0.02,8000,40,2.21E-12
0.02,1900,50,6.96E-13
0.02,200,20,3.19E-20
0.02,300,60,2.40E-15
0.02,3000,40,2.62E-12
0.02,30000,70,8.70E-13
0.02,10000,50,1.43E-12
0.02,17500,60,1.93E-12
0.02,7000,30,3.37E-12
0.02,1200,30,1.27E-13
0.02,1300,70,1.12E-13
0.02,6000,0,8.99E-12
0.02,900,40,2.99E-14
0.02,1100,80,4.95E-14
0.02,200,0,0
0.02,6000,70,2.18E-12
0.02,1100,0,1.72E-14
0.02,1500,40,3.19E-13
0.02,1000,70,3.87E-14
0.02,1100,30,7.85E-14
0.02,25000,70,1.49E-12
0.02,22500,40,2.92E-12
0.02,1600,40,4.23E-13
0.02,500,0,1.69E-19
0.02,7000,80,1.64E-12
0.02,1200,80,7.28E-14
0.02,1600,0,6.57E-13
0.02,5000,0,1.13E-11
0.02,200,90,1.37E-15
0.02,4000,40,3.79E-12
0.02,600,50,6.98E-15
0.02,27500,70,1.16E-12
0.02,20000,40,3.14E-12
0.02,700,10,4.45E-17
0.02,35800,20,1.10E-12
0.02,2500,30,2.50E-12
0.02,27500,0,4.24E-12
0.02,1300,90,1.00E-13
0.02,1600,10,6.54E-13
0.02,17500,80,1.63E-12
0.02,20000,0,5.02E-12
0.02,1700,50,4.47E-13
0.02,22500,10,5.34E-12
0.02,25000,20,4.15E-12
0.02,6000,90,2.02E-12
0.02,1000,20,2.58E-14
0.02,1100,60,5.68E-14
0.02,2500,0,4.13E-12
0.02,2500,60,1.32E-12
0.02,1200,0,5.26E-14
0.02,5000,50,3.26E-12
0.02,35800,70,3.45E-13
0.02,15000,80,1.37E-12
0.02,8000,0,4.81E-12
0.02,20000,10,4.99E-12
0.02,700,40,1.14E-14
0.02,30000,90,8.12E-13
0.02,27500,20,3.34E-12
0.02,300,80,2.28E-15
0.02,4000,10,9.06E-12
0.02,500,40,3.13E-15
0.02,15000,70,1.46E-12
0.02,12500,40,1.89E-12
0.02,2500,90,1.12E-12
0.02,35800,80,3.30E-13
0.02,2000,10,1.98E-12
0.02,1900,40,8.58E-13
0.02,8000,50,1.92E-12
0.02,900,0,7.12E-16
0.02,300,70,2.67E-15
0.02,200,30,2.10E-19
0.02,9000,10,3.26E-12
0.02,30000,60,9.53E-13
0.02,3000,50,2.12E-12
0.02,17500,70,1.73E-12
0.02,10000,40,1.61E-12
0.02,1300,60,1.19E-13
0.02,1200,20,1.07E-13
0.02,7000,20,4.55E-12
0.02,1100,90,4.77E-14
0.02,900,50,2.77E-14
0.02,800,10,2.82E-16
0.02,1500,50,2.62E-13
0.02,6000,60,2.42E-12
0.02,1400,10,2.65E-13
0.02,30000,30,1.91E-12
0.02,27500,80,1.10E-12
0.02,9000,40,1.86E-12
0.02,300,20,2.46E-19
0.02,200,60,1.61E-15
0.02,1900,10,1.59E-12
0.02,2000,40,1.04E-12
0.02,1800,50,5.66E-13
0.02,12500,10,1.65E-12
0.02,15000,20,2.91E-12
0.02,500,10,8.17E-19
0.02,400,50,2.05E-15
