Orbit,Inclination_deg,Altitude_km,Orbital_Period_sec,Orbital_Velocity_km_s_mean,Orbital_Velocity_km_s_std,He_Density_atoms_cm3_mean,He_Density_atoms_cm3_std,O_Density_atoms_cm3_mean,O_Density_atoms_cm3_std,O2_Density_atoms_cm3_mean,O2_Density_atoms_cm3_std,N_Density_atoms_cm3_mean,N_Density_atoms_cm3_std,N2_Density_atoms_cm3_mean,N2_Density_atoms_cm3_std,H_Density_atoms_cm3_mean,H_Density_atoms_cm3_std,Anomalous_Oxygen_Density_atoms_cm3_mean,Anomalous_Oxygen_Density_atoms_cm3_std,Temperature_Exospheric_K_mean,Temperature_Exospheric_K_std,Temperature_Local_K_mean,Temperature_Local_K_std,RAM_He_Flux_atoms_cm2_s_mean,RAM_He_Flux_atoms_cm2_s_std,RAM_O_Flux_atoms_cm2_s_mean,RAM_O_Flux_atoms_cm2_s_std,RAM_O2_Flux_atoms_cm2_s_mean,RAM_O2_Flux_atoms_cm2_s_std,RAM_N_Flux_atoms_cm2_s_mean,RAM_N_Flux_atoms_cm2_s_std,RAM_N2_Flux_atoms_cm2_s_mean,RAM_N2_Flux_atoms_cm2_s_std,RAM_H_Flux_atoms_cm2_s_mean,RAM_H_Flux_atoms_cm2_s_std,RAM_Anomalous_O_Flux_atoms_cm2_s_mean,RAM_Anomalous_O_Flux_atoms_cm2_s_std,Condition
50.5,10,400,5553.624271252226,7.670123428421887,0.0005340764117100646,4365659.861274184,962638.9215705054,130616364.19833122,38536112.82108469,7013530.44737703,4310462.979586448,124459.88906112242,80768.88521083766,479.7535143315979,441.4374180211091,113050.78017411951,30637.877302331086,3218796.6091051972,2224680.0086375405,988.9185045611343,106.87038791428945,987.2282620349455,105.45286148713883,3348468264069.267,738128029293.2827,100184921579009.44,29559862407015.17,5379566271601.756,3306401768411.9023,95464165475.97926,61954882723.883415,367988432.9934884,338608834.8917186,86710544342.40463,23496848452.549606,2468901960280.8105,1706447448892.3267,average
50.5,20,400,5553.624271252226,7.669358598890536,0.0011100388109929003,4357521.782497865,862260.4437346676,127327825.2273053,38944626.35963756,6691208.648031975,4075465.266767602,120033.64736132757,77905.66418412933,434.7668241162218,387.9140680943168,111998.62320676867,29076.420439759564,3132645.7361361324,2146151.81827024,989.4280304996934,103.31057753645598,987.6470906299838,101.76719147934493,3341870552492.0757,660918322156.7933,97654710697834.81,29876580858325.203,5132008249981.438,3126175510293.6826,92063413489.25142,59758612830.39112,333465010.0333461,297547478.84973496,85893682882.78267,22291641798.42442,2402684262383.289,1646208801702.1497,average
50.5,30,400,5553.624271252226,7.6681808039492925,0.0017608614269096622,4368091.936862357,788765.6178618786,124163742.50921339,36498331.12384932,6524745.329351801,4055285.8443342205,117611.3869648432,74200.84551893256,422.74784772232374,395.7950446342647,110808.67599170723,31411.822959388028,3076972.710446933,2086190.194332523,988.6865334659434,106.86174600782178,987.247271218862,105.50591085747726,3349465226261.919,604455778972.7715,95210312463860.3,27985752244448.43,5003312828136.403,3109892741563.335,90187021417.68076,56903592923.858,324180882.88707757,303541250.9195837,84970985458.19064,24092568088.86909,2359473684231.467,1599816651936.5962,average
50.5,40,400,5553.624271252226,7.666752926198351,0.0024504213268408868,4545963.166979944,1330448.0715113813,115344954.80707395,29064069.537303027,5423213.13437653,2535636.6083118278,96550.82223806198,44905.73870196746,281.90596580004615,185.09319370746158,109605.39751926418,27097.11481936412,2412461.5158986365,1446787.2365869717,987.9298234035948,88.12824326541958,986.2153448605779,86.6318038651234,3485480123991.0713,1020686877478.9695,88430037151634.69,22274027001509.03,4157531500249.8086,1943162015694.194,74017947026.9706,34414731044.395424,216106775.56216714,141857739.62244588,84036886018.95108,20792905743.7934,1849433173526.8538,1108986894325.2026,average
50.5,50,400,5553.624271252226,7.665221451100021,0.003140102359071079,4310312.011609649,1327434.5961114534,110458971.06710005,36218171.157311864,5844342.5152558945,3701216.0067380536,112787.17919298951,75938.22895629998,373.60060408776985,344.35322525181925,103538.43885009631,30358.942498869794,2570895.770226725,1938227.4641878232,991.0011139477656,107.23083974958647,989.4781756410863,105.71326411847315,3304173005628.1133,1018285174616.1256,84675980058029.27,27783356257387.72,4480324604470.911,2838351713141.6313,86463830715.1393,58230800148.672325,286420026.7221021,264059293.9284566,79364442974.49532,23274330709.852493,1970902783630.0762,1486298520313.7656,average
50.5,60,400,5553.624271252226,7.663788698933761,0.0037729219087015,4139637.3209797055,1389955.003530929,101136700.34923536,26432348.89862413,5116208.035785992,2426139.5771017685,103164.29153713245,60400.95450528178,311.07630889102046,232.0975696148679,97970.59846208169,23126.00580035856,2117331.0838694517,1259799.456517398,992.540288643345,79.56045146788146,991.060033524013,78.28673474287085,3172791983086.159,1066129106886.9996,77516867088064.08,20282567123471.57,3921351321301.83,1860282524184.231,79070963440.59694,46304997179.26594,238434277.87099364,177935053.69024178,75082500643.4938,17725870745.575302,1622957937432.583,965958359426.2233,average
50.5,70,400,5553.624271252226,7.662617759396017,0.004276992114223684,3973202.873343112,975592.2725797952,104075806.46618964,34075557.568039924,5551855.503220111,2534191.9848318663,109892.19119790928,54855.12290459636,335.36444339546057,204.51336842219817,98209.92401351925,28643.29370291087,2255753.386479645,1553209.3324138802,1007.9564666578867,82.46690647051463,1007.0574794922015,81.8145162470766,3044848679213.1294,748725420356.4282,79754801326189.4,26132915493817.664,4254225833235.5273,1942296524115.8972,84205628510.47063,42035934642.299225,256969296.0380731,156715791.27947173,75262356641.38063,21975053318.304226,1728662378605.8872,1190743073605.3838,average
50.5,80,400,5553.624271252226,7.661856759402724,0.004602901447247308,3740438.564935058,1074449.979070939,100062161.2199606,38173272.48021815,5968121.430314779,3482919.377933368,118577.9358413089,72238.69626400399,419.47477727748844,330.79136034966956,94387.66035712302,36911.56849858962,2181498.160951446,2042717.5029270696,1025.8566782128798,111.35138977641208,1023.9799975102824,109.8198447017201,2866238802136.3735,824375727468.9819,76674899152218.98,29277151478103.055,4573045907291.816,2670104202229.105,90857264599.52467,55367216902.03588,321418936.15556574,253549524.63777483,72325033772.23833,28304126485.20086,1671782320856.5369,1566066575357.7578,average
50.5,90,400,5553.624271252226,7.6615877960574394,0.004712563781499078,3752654.451258223,963341.1683875805,101084461.51971413,36119549.580857456,5777022.486191537,2663164.6330060307,117963.65674821263,63275.39586947313,387.7088738157716,254.2115366170127,94415.3424664815,29522.034684833776,2233924.6477273856,1603275.1468488397,1014.764563685952,84.300627955544,1014.0497190901337,83.82429377149438,2875508929096.1025,739308568636.3267,77455540266313.84,27702868382732.914,4426247686720.475,2041118756697.7915,90378521922.82973,48480581713.442635,297035077.779114,194749014.67495692,72344704348.36331,22644673571.6785,1711832342442.6316,1229096353209.9429,average
50.5,0,500,5676.978028525858,7.6143719227930395,2.705649860918832e-06,2872904.047665651,656643.6137548328,25999194.166806065,11935102.825801665,462527.3440497841,397167.1674139154,5609.003443312514,5094.932824503317,11.097079075527072,13.007930480347262,101761.86095301234,26966.75255450794,815431.3169285081,660921.4727374418,988.6544165097642,108.18990495979415,988.4011703621815,107.95145170607243,2187535951796.481,499992674656.632,19796750567296.08,9087823770287.93,352185436567.8376,302417705852.2435,4270902739.4553304,3879469580.0928087,8449726.177135788,9904718.049963737,77485271519.90742,20533511187.53184,620899582135.2643,503249928199.0525,average
50.5,10,500,5676.978028525858,7.614112170862991,0.0005210862576150057,2866807.4744793735,591207.4078626985,25856652.083673768,11839402.269869858,457998.92493694974,393348.498276698,5558.077693950938,5038.190443852603,10.884724266619687,12.809988311865204,101620.89830751455,26882.20768492033,815023.5583935541,653753.043531989,988.3520872813325,107.37426799147103,988.1127164449173,107.14462036700186,2182793336983.7642,450018481945.62134,19687425403274.484,9014375307807.373,348724718626.7762,299501214636.8183,4231975694.3957887,3836171255.177126,8287780.730535733,9753814.623797972,77375338384.7796,20468934636.166443,620563924781.7076,497771633983.19135,average
50.5,20,500,5676.978028525858,7.613364850742622,0.0010924710142190275,2857066.421054646,536110.4105987584,25237048.863064494,11760924.323714938,434564.12717304495,367688.52166156605,5364.8114221106525,4830.394000566008,9.70734934320913,11.060129852601621,100597.81720667254,25246.17998137998,796469.5447823632,632654.3586235109,989.2433391196273,103.40924014447128,988.9700609932092,103.13705042794555,2175153085339.1218,407956485891.38696,19214637968067.598,8955857968399.123,330873464244.908,279974960557.0309,4084738406.673364,3678064073.228099,7391256.988854966,8421566.704645919,76587024925.639,19213760319.838913,606422781717.1891,481730198790.9943,average
50.5,30,500,5676.978028525858,7.612230157827988,0.0017188764523974043,2844891.062681407,452093.1187249609,24401577.83647821,11321380.208726114,404340.1635207276,332786.60418159264,5033.6397261161965,4392.718710297037,8.3855802042928,9.28093160991085,99092.98105673633,23948.14532791147,759609.3663515343,584878.9117468733,990.9260445024482,97.81697885285712,990.6344582178939,97.5178704693278,2165558205186.8862,343885766235.7599,18576106074156.62,8620721806286.137,307823568934.10455,253378677770.2023,3832118536.2369843,3344508247.7578597,6384128.872911307,7066201.269279537,75429879918.47766,18221870684.542706,578289182969.5653,445313746049.1064,average
50.5,40,500,5676.978028525858,7.610824063422666,0.0024033064944413074,2791914.883466103,286679.75979539077,23911159.842657875,11474702.353776533,402754.3804922114,337634.8002014113,5044.477336085173,4320.477902229058,8.454689084641126,9.632249718559077,96982.5798437979,25844.466792605057,758316.8716172505,600090.8630072186,995.2345470452984,98.87119468381565,994.9648896369591,98.58929300590295,2124845562051.2407,217871940818.1229,18199329573448.1,8736146937253.383,306558809583.2021,257041479958.69724,3839628777.735387,3289143905.2300587,6435646.405328593,7333040.391849631,73811355947.75975,19670571947.76653,577197011651.74,456838919734.12787,average
50.5,50,500,5676.978028525858,7.609343467373683,0.00307675108622702,2713954.2784956913,242754.32824855798,23109387.860812157,11275275.749836171,394468.9484373042,318305.58061281155,5036.667224367896,4069.6170934684615,8.148321796167682,8.775050050687332,93991.12477682637,26568.019065688615,715058.9816454757,577233.7257258032,1001.4534578369903,96.31252993951361,1001.1934349069493,96.05202120867571,2065155717834.1912,184845975940.5932,17585961585811.965,8583648929600.098,300196667708.72095,242300570759.29245,3832934035.612006,3097759337.9796934,6201313.6684206035,6679768.434042875,71521882268.44185,20222569830.095993,544178634568.63654,439390798145.85944,average
