,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
10,200.0,60.0,1350000.0,270100.0,155000.0,101700.0,70310.0,50770.0,37790.0,28790.0,22360.0,17660.0,14170.0,11550.0,9540.0,7986.0,6757.0,5771.0,4967.0,4298.0,3740.0,3266.0,2859.0,2070.0,1517.0,1125.0,850.4,652.6,514.1,416.3,343.2,290.6,253.0,221.9,200.5,180.9,165.7,154.1,144.2,136.6,126.0,122.4,116.3,110.5,107.0,100.5,100.9,97.12,90.96,89.38,85.32,80.68,76.9,73.38,69.07,65.26,62.98,58.44,57.09,55.68,52.05,49.6,48.57,45.33,41.76,39.39,37.07,34.96,20.27,13.41,9.969,2.9
11,2500.0,50.0,561900000.0,121500000.0,57610000.0,31690000.0,18560000.0,11440000.0,7445000.0,5144000.0,3770000.0,2887000.0,2327000.0,1941000.0,1647000.0,1449000.0,1280000.0,1148000.0,1048000.0,946500.0,880300.0,812100.0,748400.0,650100.0,568500.0,511400.0,466900.0,430500.0,401100.0,379000.0,361800.0,347300.0,333200.0,316900.0,308400.0,298500.0,290000.0,283300.0,268700.0,267000.0,258400.0,249700.0,244500.0,235000.0,230300.0,224500.0,219100.0,213900.0,208900.0,204300.0,199000.0,186200.0,179400.0,171500.0,164700.0,159300.0,149300.0,147500.0,142200.0,136800.0,134000.0,128900.0,126800.0,121700.0,117700.0,113200.0,108100.0,104100.0,74220.0,56550.0,46660.0,18710.0
12,2500.0,40.0,694000000.0,151000000.0,70980000.0,38650000.0,22380000.0,13600000.0,8729000.0,5953000.0,4316000.0,3277000.0,2631000.0,2191000.0,1858000.0,1640000.0,1451000.0,1306000.0,1196000.0,1083000.0,1012000.0,936300.0,865600.0,760400.0,671600.0,609800.0,561100.0,520800.0,487600.0,462700.0,443100.0,426500.0,409900.0,390400.0,380600.0,368600.0,358500.0,350400.0,332500.0,330600.0,320100.0,309300.0,303000.0,291200.0,285400.0,278200.0,271600.0,265200.0,258900.0,253200.0,246600.0,230700.0,222300.0,212500.0,204000.0,197200.0,184800.0,182600.0,175900.0,169200.0,165800.0,159500.0,156800.0,150400.0,145400.0,139900.0,133500.0,128500.0,91320.0,69430.0,57210.0,22850.0
13,200.0,70.0,1448000.0,315500.0,182100.0,121700.0,86480.0,64260.0,49130.0,38430.0,30520.0,24660.0,20150.0,16810.0,14120.0,12070.0,10410.0,9091.0,8016.0,7068.0,6321.0,5678.0,5102.0,3993.0,3196.0,2613.0,2217.0,1887.0,1654.0,1478.0,1316.0,1195.0,1105.0,1010.0,950.0,876.7,819.1,773.6,731.9,699.6,641.2,629.0,595.9,562.2,544.2,505.9,510.7,487.7,450.2,441.3,417.1,389.8,368.1,347.5,322.2,301.0,287.8,262.4,255.3,246.8,227.1,214.2,208.5,191.2,172.5,160.4,148.8,138.0,72.59,45.19,31.62,8.287
14,1600.0,20.0,218500000.0,55110000.0,26090000.0,14160000.0,8173000.0,4945000.0,3145000.0,2117000.0,1515000.0,1145000.0,920000.0,774400.0,669600.0,603100.0,547500.0,505600.0,474400.0,440900.0,420600.0,398100.0,376200.0,344700.0,316400.0,296400.0,280100.0,265900.0,253800.0,244400.0,237000.0,230500.0,223700.0,215300.0,211300.0,206100.0,201800.0,198300.0,190000.0,189500.0,184700.0,179700.0,176900.0,171300.0,168700.0,165400.0,162400.0,159400.0,156500.0,153800.0,150700.0,142900.0,138900.0,134100.0,130000.0,126700.0,120100.0,119200.0,115600.0,112000.0,110100.0,106500.0,105000.0,101300.0,98400.0,95050.0,91100.0,88030.0,65260.0,51210.0,43150.0,19260.0
15,1800.0,90.0,158800000.0,35590000.0,17000000.0,9402000.0,5550000.0,3450000.0,2260000.0,1566000.0,1147000.0,878500.0,706900.0,589600.0,502400.0,443000.0,393600.0,355500.0,326100.0,297100.0,277500.0,257600.0,239200.0,209700.0,185400.0,168200.0,154800.0,143800.0,134900.0,128200.0,123000.0,118600.0,114300.0,109300.0,106700.0,103700.0,101100.0,99040.0,94470.0,94040.0,91390.0,88660.0,87110.0,84110.0,82680.0,80880.0,79240.0,77630.0,76070.0,74660.0,72990.0,68900.0,66810.0,64290.0,62110.0,60390.0,57010.0,56520.0,54690.0,52850.0,51900.0,50090.0,49340.0,47490.0,46040.0,44390.0,42450.0,40950.0,29820.0,23110.0,19310.0,8339.0
16,20000.0,10.0,1078000000.0,169300000.0,112700000.0,84130000.0,65830000.0,53370000.0,44230000.0,37200000.0,31620000.0,27100000.0,23410000.0,20360000.0,17830000.0,15690000.0,13870000.0,12300000.0,10930000.0,9717000.0,8642000.0,7684000.0,6828000.0,5063000.0,3738000.0,2756000.0,2038000.0,1517000.0,1140000.0,866200.0,666100.0,518200.0,407800.0,324300.0,260300.0,210600.0,171600.0,140600.0,115800.0,95830.0,79660.0,66530.0,55850.0,47150.0,40030.0,34250.0,29550.0,25710.0,22580.0,20010.0,17900.0,14750.0,12580.0,11070.0,9955.0,9111.0,8468.0,7946.0,7509.0,7133.0,6804.0,6515.0,6261.0,5817.0,5446.0,5133.0,4877.0,4657.0,3508.0,2780.0,2383.0,806.1
17,1000.0,50.0,37700000.0,7195000.0,3345000.0,1824000.0,1067000.0,659300.0,428000.0,292000.0,209200.0,156600.0,122600.0,99600.0,83120.0,71630.0,62650.0,55760.0,50420.0,45620.0,42080.0,38800.0,35850.0,30800.0,26920.0,24190.0,22140.0,20530.0,19260.0,18320.0,17610.0,17010.0,16450.0,15800.0,15470.0,15070.0,14740.0,14490.0,13890.0,13850.0,13510.0,13150.0,12960.0,12560.0,12380.0,12150.0,11930.0,11720.0,11520.0,11340.0,11110.0,10560.0,10280.0,9935.0,9639.0,9403.0,8916.0,8856.0,8590.0,8319.0,8179.0,7905.0,7790.0,7505.0,7276.0,7012.0,6701.0,6459.0,4682.0,3630.0,3043.0,1361.0
18,200.0,0.0,11.94,2.834,1.3,0.6657,0.347,0.1807,0.09377,0.04806,0.02387,0.01122,0.004807,0.001789,0.0005985,0.0002294,0.0001536,0.0001374,0.0001281,0.0001199,0.0001131,0.0001071,0.0001019,9.147e-05,8.354e-05,7.727e-05,7.198e-05,6.753e-05,6.365e-05,6.028e-05,5.724e-05,5.446e-05,5.194e-05,4.965e-05,4.755e-05,4.562e-05,4.384e-05,4.219e-05,4.066e-05,3.925e-05,3.792e-05,3.669e-05,3.554e-05,3.444e-05,3.339e-05,3.241e-05,3.15e-05,3.064e-05,2.983e-05,2.907e-05,2.835e-05,2.701e-05,2.581e-05,2.472e-05,2.371e-05,2.278e-05,2.193e-05,2.115e-05,2.042e-05,1.974e-05,1.91e-05,1.851e-05,1.795e-05,1.691e-05,1.598e-05,1.512e-05,1.434e-05,1.362e-05,8.896e-06,6.157e-06,4.714e-06,9.07e-07
19,900.0,30.0,27000000.0,5939000.0,2701000.0,1416000.0,787200.0,456800.0,277300.0,177600.0,120900.0,87530.0,67830.0,55630.0,47440.0,42300.0,38340.0,35430.0,33300.0,31140.0,29790.0,28360.0,26980.0,24950.0,23170.0,21910.0,20890.0,19990.0,19220.0,18630.0,18160.0,17740.0,17300.0,16730.0,16470.0,16120.0,15820.0,15590.0,14990.0,14970.0,14630.0,14270.0,14080.0,13670.0,13490.0,13250.0,13030.0,12810.0,12600.0,12410.0,12180.0,11590.0,11300.0,10940.0,10620.0,10380.0,9853.0,9794.0,9510.0,9219.0,9070.0,8774.0,8651.0,8344.0,8097.0,7812.0,7476.0,7214.0,5308.0,4160.0,3508.0,1596.0
