Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
700.0,90.0,0.7245693563009972,0.30037174721189586,0.4754826584657441,0.5827607745159276,0.5808031341821744,0.510726643598616,0.41149635036496357,0.3013150371640938,0.19999999999999996,0.11080287206266326,0.03439803439803435,-0.03326180257510725,-0.08081296878780542,-0.12392241379310343,-0.16254100805249028,-0.18918032786885242,-0.21218637992831546,-0.2320658565268522,-0.2467035304125904,-0.2643942883463841,-0.2768079800498753,-0.29440096327513543,-0.302514367816092,-0.30135708227311275,-0.3034448818897638,-0.28538812785388123,-0.26054039942566243,-0.2395802542122376,-0.20552763819095476,-0.1670420420420421,-0.1285299003322259,-0.0962468339857242,-0.059529764882441216,-0.01830601092896178,0.0020642878207017823,0.03808624488511181,0.04241816967267864,0.05820476858345014,0.12316384180790951,0.09540363074546154,0.08969696969696961,0.13693998309382915,0.13020833333333326,0.13470319634703198,0.1064120054570259,0.10965323336457367,0.14123456790123456,0.1253746253746253,0.14123124676668386,0.11612903225806459,0.10809312638580937,0.091324200913242,0.07555026769779882,0.08389882788402225,0.04282115869017633,0.06702057067020561,0.06434316353887404,0.02448979591836742,0.024946543121881604,0.055882352941176494,0.043090638930163516,0.007757951900698279,0.024570024570024662,0.019508057675996504,0.0035211267605634866,-0.01188299817184646,-0.04022191400832176,-0.05554653240214402,-0.044027640671273516,0.08740894901144647
9000.0,20.0,-0.5634566326530612,-0.6007815454430858,-0.6930223441787534,-0.7262934690415607,-0.754858934169279,-0.7722384881554432,-0.7771028037383177,-0.7697342838626053,-0.7521489971346704,-0.726531721233528,-0.6972185924957999,-0.6662543295398318,-0.6353573687539532,-0.6102814698983581,-0.5902163687676387,-0.5736263736263736,-0.5618445988629185,-0.5514059120403749,-0.5429497568881685,-0.5388437217705511,-0.5353889278206027,-0.5215544974906705,-0.5158730158730158,-0.5066258919469928,-0.4944885926685465,-0.4801026957637997,-0.4623655913978495,-0.4364448857994042,-0.40834868017188464,-0.37659414853713424,-0.3352887259395051,-0.3005083996463307,-0.250300040005334,-0.2003795666613949,-0.15560984777297504,-0.09624724061810153,-0.04976911236531556,-0.007969303423848828,0.0714285714285714,0.10576555937380672,0.1488250652741514,0.22520762090864688,0.2768392370572208,0.2910491997628928,0.3431180691454665,0.4231332357247437,0.4541864139020537,0.49528706083976015,0.533210332103321,0.5790589232725731,0.6309523809523809,0.6566143948532368,0.6617516956649956,0.6439856092601282,0.5950371370695475,0.6473924977127172,0.6297426120114396,0.5694277711084434,0.5323154151851077,0.5808791208791209,0.5932947976878613,0.5103156848123291,0.5085106382978724,0.5017045454545455,0.48375229920294305,0.44796084828711247,0.21960167714884693,0.11535523300229178,0.08397557802021827,0.045748813120414455
25000.0,50.0,-0.04166666666666663,-0.5145073700543057,-0.5098666666666667,-0.5001975503753457,-0.49219819326580894,-0.4783242258652095,-0.4645039962388341,-0.45274985215848607,-0.44574545454545456,-0.44258121158911323,-0.44144991120860755,-0.44097776685910817,-0.43973661608932146,-0.43776895067858324,-0.4346336822074215,-0.43062513613591813,-0.4267626613704072,-0.4230118443316413,-0.41980830670926517,-0.41789967520750626,-0.4171754171754172,-0.4201634877384196,-0.429739507959479,-0.44231136580706776,-0.4561623246492986,-0.4687602224403009,-0.4788522848034006,-0.4856985698569857,-0.48954271534916693,-0.48999090081892627,-0.4873837209302325,-0.4815555555555555,-0.47242026266416515,-0.46040777619724993,-0.4454707985697258,-0.42708139318308813,-0.40583738707435724,-0.38065254722381225,-0.35512367491166075,-0.32361765966566647,-0.2920766442257897,-0.26068111455108356,-0.2285298398835517,-0.20093696763202729,-0.17226487523992318,-0.151551183655821,-0.13679990280646337,-0.12452132576257757,-0.11875358989086737,-0.1181229773462783,-0.12924213117636718,-0.14683875794986911,-0.16679888932963105,-0.18579462611955844,-0.20176952956409144,-0.21985010220304335,-0.23100233100233103,-0.24166866458882763,-0.2556390977443609,-0.266476388168137,-0.2742235200424741,-0.2904494382022472,-0.3062928720548762,-0.3179824561403509,-0.32730263157894735,-0.3356329768885823,-0.3679959616355376,-0.3836154366960054,-0.3942052980132451,-0.39809422975119113
400.0,10.0,3581.1630943582163,1115.730279898219,593.2556634304207,373.87179487179486,255.8943298969072,184.8392999204455,142.35260115606937,117.46171454732746,103.09387918389119,95.34947304108752,91.51853128770902,89.93005380476556,89.56803730394235,89.82696316886728,90.30653266331659,91.9035752979415,93.57184325108854,94.57138432951378,96.26973684210526,98.44289693593313,100.68993387215284,105.82196339434276,112.98601398601399,120.81818181818181,129.32928942807624,139.97938144329896,154.06512301013026,169.27027027027026,188.70037453183522,214.59285327558203,245.82579989842563,288.99545936128345,342.3137398971345,418.4501249715974,515.3230240549829,649.9572901325479,840.4693088448525,1114.009746588694,1509.752688172043,2122.139549675614,3029.697674418605,4473.936992439093,6785.02243313201,10543.354838709678,15991.970123022847,22721.433460076045,30588.93399339934,37011.6582278481,41220.80987724807,44492.67088607595,45929.62041360907,46201.0905923345,46709.28716830243,48522.84557153671,48706.90916209867,47860.178369652946,48983.66639038541,49341.38438693254,49695.70710571924,49314.67328918322,48538.325842696635,48952.974895397485,49327.214971209214,49652.12190287413,48599.717580727825,48416.151932239285,46440.798941798945,41975.37795275591,44216.08185053381,18658.20511649155
900.0,20.0,3.197755535335153,1.258964143426295,1.4763583907677513,1.89989235737352,2.1990084985835696,2.2448954639931533,2.0940267571132467,1.852233676975945,1.6144038594073051,1.4107672742687578,1.2852852852852852,1.2031872509960158,1.1534559289790742,1.1437456807187285,1.1339285714285716,1.1321202531645569,1.1390507910074938,1.1313485113835378,1.1448087431693987,1.1367924528301887,1.125,1.153797733948804,1.1554888221554886,1.171421889616464,1.168222033692886,1.1758850951241024,1.1725571725571724,1.1728691476590636,1.194249552895859,1.2074805928016938,1.2009500503814596,1.1907292589312077,1.192273135669362,1.1973986228003062,1.1995641344956414,1.1992747911083086,1.1484437350359138,1.1644673318313488,1.1729087609305395,1.1229602769078624,1.1244993324432575,1.0989327460613247,1.0851063829787235,1.09528777603895,1.0422898401237752,1.0323084940072955,1.0534283170080143,1.0285204991087342,1.0268067379097991,0.966188901139287,0.9435678485242249,0.9103021204728843,0.8993301435406698,0.8933021806853583,0.8210712183637434,0.8678253839935328,0.8224696356275303,0.7803985359902399,0.8043478260869565,0.7817485641352904,0.7654716175842937,0.7469458987783595,0.7552353073632065,0.731925636906128,0.6985242445537596,0.6820795400095832,0.5674173735010237,0.4987817612252001,0.48091603053435117,0.6538099717779868
1000.0,40.0,0.6829769736842106,0.06325184322856026,0.2578786851914605,0.48774885145482383,0.6245106895513399,0.6395074665968037,0.569364161849711,0.46130773845230943,0.3542857142857143,0.26289202273205636,0.20609295664626992,0.1710302091402014,0.1529454152404972,0.15889570552147236,0.16476234003656298,0.1775371442961471,0.1980795610425241,0.20887961859356374,0.23433503836317127,0.24786616592693744,0.2586395052746453,0.32233820459290197,0.365510777881912,0.41541645111226067,0.45022371364653235,0.4915458937198067,0.5254674403610573,0.5636114911080712,0.6171761280931587,0.666923076923077,0.6988727858293076,0.7210481825866442,0.75,0.7774750227066303,0.797752808988764,0.8086124401913874,0.7707317073170732,0.7922848664688427,0.8049178655239262,0.7606209150326797,0.7631797426317974,0.7420718816067653,0.7296434273549761,0.7422173675587111,0.6916765626686818,0.6847172081829123,0.7059420453264178,0.683056403300554,0.6831911459534241,0.6300387824656246,0.609442060085837,0.5789473684210527,0.567922657411998,0.5620253164556963,0.4959723820483315,0.5380542686962277,0.4960838975175892,0.45719246694270077,0.47821290678433526,0.4579228820714889,0.44331354255018374,0.4274099883855982,0.4359553948161543,0.41601110596945867,0.3868416890716433,0.3725426482534524,0.2713808927826449,0.21805483704086903,0.20680147058823528,0.3451191391237509
2500.0,0.0,-0.3464161447459986,-0.5752138185477109,-0.496551724137931,-0.39407665505226486,-0.32878714076960547,-0.31373070782331025,-0.33069620253164556,-0.3578832515002728,-0.3781584582441113,-0.3912186379928315,-0.3924701762066324,-0.3905662822340288,-0.3796240145542753,-0.3700486448922863,-0.354273335959039,-0.3366424001764836,-0.3184152604548789,-0.3025210084033614,-0.2808056872037915,-0.2687721559780857,-0.2590129506475324,-0.20488010096760623,-0.1597633136094675,-0.1157775255391601,-0.07324840764331209,-0.023622047244094446,0.030206677265500748,0.08172231985940237,0.15753424657534243,0.22312263641274988,0.2933679490205334,0.38888888888888884,0.41217150760719234,0.4885100074128985,0.5114384205578189,0.5254486133768352,0.5340870739115762,0.555421270718232,0.5850929435120014,0.512778684067428,0.5242159955464836,0.5257142857142858,0.509059367771781,0.5314000000000001,0.4742247679241556,0.4896064581231079,0.4630645842127481,0.44501169963837484,0.5159165751920967,0.4567592171142467,0.4535237649262467,0.4300530631934394,0.4403508771929825,0.4173146708138933,0.3833157338965154,0.41100055279159764,0.36667595430482036,0.3423499577345732,0.40023439789041904,0.40547039374812144,0.3312140478353012,0.34042553191489366,0.3585891574134552,0.3592754109359275,0.34863652053848804,0.32241992882562287,0.29141248240262785,0.27353463587921856,0.27401129943502833,0.40937500000000004
1800.0,80.0,-0.10254988913525498,-0.4357698289269051,-0.32972555083107846,-0.19165964616680708,-0.09208840486867398,-0.050605652759084796,-0.05049261083743839,-0.07068366164542295,-0.09336419753086422,-0.11821743388834471,-0.12797977365759694,-0.13504224545324361,-0.13876799464345502,-0.13108470678420847,-0.12797747942832394,-0.12134396905970513,-0.11072572038420492,-0.1084018801410106,-0.09398976982097185,-0.08901974367855903,-0.0864520958083832,-0.046812304948729344,-0.017680707228289183,0.020870602265951055,0.05351170568561869,0.09505988023952106,0.13576158940397343,0.18346957311534973,0.25,0.3136378502125805,0.3650793650793651,0.4093448450990351,0.4581651869787462,0.5036412965871768,0.5392685851318946,0.5640547263681592,0.5402759948652118,0.5681930083702609,0.5884365378036265,0.5503355704697988,0.5574520499736055,0.5411107104219257,0.5316317228805834,0.547834274952919,0.5,0.49592262469182624,0.5214566929133859,0.5017814726840855,0.5056841250507511,0.46027111574556834,0.44539067489887163,0.4208351457155284,0.41524663677130036,0.4127532228360957,0.3521586931155192,0.3948518698397281,0.3566023919941421,0.321929608663549,0.34472208057113707,0.32820245238716406,0.3156651797428496,0.30494728304947283,0.31765699802872427,0.3033805258595781,0.28193701723113485,0.27356181150550785,0.21962992759452926,0.18996960486322179,0.18467109233554613,0.31040346266810936
1600.0,30.0,-0.07439525330899133,-0.42792685822844934,-0.3271861986912552,-0.1880398671096346,-0.08755040978275008,-0.050180018001800164,-0.05882352941176472,-0.0885496183206107,-0.1167933655839668,-0.14358288770053473,-0.14824259895775582,-0.14513768790740988,-0.13745113369820172,-0.11368534482758619,-0.09666937449228274,-0.07631340579710144,-0.051358763400648266,-0.039103089964451776,-0.01243339253996445,0.0015938795027095054,0.011293634496919891,0.07357057177129156,0.11633211678832112,0.16564417177914104,0.2016806722689075,0.24325980392156854,0.2805039787798409,0.32193732193732183,0.38230769230769224,0.43621399176954734,0.4755671902268761,0.507421150278293,0.5436046511627908,0.5766497461928934,0.6006322444678609,0.6155928532755821,0.582039911308204,0.601892531260561,0.6151603498542273,0.5726136230868093,0.5746907706945765,0.5548003398470689,0.5428851095069129,0.5548281505728314,0.506406269436497,0.5005683971201214,0.5218811234487264,0.5014424337791765,0.502145922746781,0.45524437122460193,0.4377532485678357,0.4114131208196954,0.4038911644236396,0.3999700284729506,0.34005763688760804,0.3798803526448362,0.34223838128359163,0.3078025477707007,0.3289972007245183,0.3121319199057715,0.29989851150202984,0.2882741823242867,0.299511665762344,0.2848406226834692,0.26250713334601494,0.25357072979847395,0.19415501905972055,0.1626429479034308,0.157239819004525,0.2814885496183206
4000.0,10.0,-0.38848920863309355,-0.6026675786593707,-0.5866786949330928,-0.5594817432273262,-0.5461862177801158,-0.5481833910034601,-0.5528769312733084,-0.5553629886385518,-0.5469420600858369,-0.539978486912872,-0.5162505887894488,-0.5023557126030624,-0.4868768328445747,-0.4683377308707124,-0.4598251457119067,-0.4523292300265508,-0.4424559471365639,-0.4391283751776409,-0.4286217215279,-0.4275673565013667,-0.4274891774891775,-0.39583333333333337,-0.3741362290227048,-0.33910306845003935,-0.3114754098360656,-0.2653497063534437,-0.22065150583896742,-0.1674842326559215,-0.08825910931174086,-0.011959521619135272,0.049338393681403137,0.10970561177552907,0.1661262160139685,0.22234302799673822,0.2642524723676556,0.290820223002902,0.2663052144793494,0.29442709189544636,0.3254551820728291,0.2815311342388429,0.29617426322533413,0.2875667429443174,0.28323586744639373,0.3189993797808559,0.2645977950183749,0.2753500212134068,0.3302940506040575,0.31893147502903596,0.34582414891011504,0.3282682735132303,0.3401662049861496,0.34282359847373045,0.3658919597989949,0.3896666666666666,0.33506224066390033,0.4116772034213463,0.3774658573596359,0.3477078477078477,0.39505154639175255,0.3888412017167382,0.38334060183166163,0.39226519337016574,0.42976424361493115,0.4304771677783479,0.42006437768240334,0.42720629567172574,0.4451882845188284,0.4352061622111463,0.4450127877237853,0.5420224719101123
