,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
0,700.0,90.0,7020000000000.0,1072000000000.0,554500000000.0,372500000000.0,277600000000.0,221700000000.0,184300000000.0,160100000000.0,142000000000.0,128000000000.0,117200000000.0,108000000000.0,100100000000.0,93260000000.0,87470000000.0,82340000000.0,77870000000.0,73900000000.0,70350000000.0,67200000000.0,64470000000.0,59130000000.0,55180000000.0,51830000000.0,48980000000.0,46650000000.0,44710000000.0,42930000000.0,41350000000.0,39940000000.0,38740000000.0,37680000000.0,36670000000.0,35720000000.0,34830000000.0,33980000000.0,33170000000.0,32440000000.0,31740000000.0,31060000000.0,30430000000.0,29840000000.0,29300000000.0,28790000000.0,28300000000.0,27820000000.0,27360000000.0,26910000000.0,26470000000.0,25650000000.0,24870000000.0,24130000000.0,23430000000.0,22770000000.0,22140000000.0,21560000000.0,21020000000.0,20510000000.0,20030000000.0,19580000000.0,19160000000.0,18410000000.0,17710000000.0,17070000000.0,16470000000.0,15910000000.0,11750000000.0,9420000000.0,7921000000.0,4031000000.0
1,9000.0,20.0,1.979e+17,2586000000000000.0,458300000000000.0,150800000000000.0,65490000000000.0,29570000000000.0,15340000000000.0,10480000000000.0,7898000000000.0,6141000000000.0,4947000000000.0,4025000000000.0,3303000000000.0,2727000000000.0,2256000000000.0,1884000000000.0,1592000000000.0,1360000000000.0,1174000000000.0,1023000000000.0,904600000000.0,707000000000.0,587800000000.0,496300000000.0,425900000000.0,374000000000.0,334500000000.0,301500000000.0,275000000000.0,254100000000.0,238700000000.0,226500000000.0,215600000000.0,205600000000.0,196700000000.0,188300000000.0,180400000000.0,173400000000.0,166800000000.0,160300000000.0,154300000000.0,148800000000.0,143800000000.0,139200000000.0,134700000000.0,130500000000.0,126500000000.0,122600000000.0,118700000000.0,111600000000.0,104900000000.0,98570000000.0,92970000000.0,87790000000.0,83020000000.0,78700000000.0,74790000000.0,71370000000.0,68260000000.0,65380000000.0,62770000000.0,58620000000.0,54880000000.0,51460000000.0,48360000000.0,45560000000.0,25250000000.0,16220000000.0,11550000000.0,2421000000.0
2,25000.0,50.0,1216000000000000.0,5066000000000.0,3332000000000.0,2573000000000.0,2065000000000.0,1713000000000.0,1444000000000.0,1226000000000.0,1048000000000.0,902700000000.0,786200000000.0,688700000000.0,604200000000.0,531300000000.0,469000000000.0,415000000000.0,368000000000.0,326500000000.0,289900000000.0,257900000000.0,230800000000.0,177900000000.0,139800000000.0,111600000000.0,90780000000.0,75640000000.0,64150000000.0,55180000000.0,48190000000.0,42740000000.0,38410000000.0,34820000000.0,31870000000.0,29400000000.0,27290000000.0,25440000000.0,23760000000.0,22340000000.0,21070000000.0,19930000000.0,18870000000.0,17960000000.0,17160000000.0,16430000000.0,15730000000.0,15100000000.0,14500000000.0,13940000000.0,13400000000.0,12440000000.0,11580000000.0,10800000000.0,10150000000.0,9555000000.0,9010000000.0,8514000000.0,8067000000.0,7647000000.0,7260000000.0,6908000000.0,6582000000.0,6016000000.0,5521000000.0,5087000000.0,4705000000.0,4371000000.0,2403000000.0,1512000000.0,1062000000.0,318300000.0
3,400.0,10.0,102900000000.0,10800000000.0,3498000000.0,1958000000.0,1410000000.0,1109000000.0,932700000.0,843600000.0,783100000.0,735200000.0,698700000.0,666800000.0,638700000.0,613800000.0,592000000.0,572400000.0,555400000.0,540300000.0,526900000.0,514900000.0,504600000.0,485300000.0,472100000.0,459800000.0,448700000.0,439400000.0,431200000.0,423200000.0,415900000.0,409200000.0,403400000.0,398100000.0,393000000.0,388000000.0,383300000.0,378700000.0,374200000.0,369900000.0,365600000.0,361600000.0,357700000.0,353900000.0,350400000.0,347100000.0,343700000.0,340400000.0,337200000.0,334000000.0,330800000.0,324900000.0,319000000.0,313300000.0,308000000.0,303000000.0,298200000.0,293600000.0,289100000.0,284900000.0,280800000.0,276900000.0,273100000.0,266300000.0,259800000.0,253600000.0,247600000.0,242000000.0,196500000.0,166600000.0,145500000.0,84920000.0
4,900.0,20.0,7838000000000.0,1570000000000.0,942000000000.0,692000000000.0,560900000000.0,489000000000.0,443900000000.0,419600000000.0,401800000000.0,387100000000.0,375200000000.0,364100000000.0,353600000000.0,343500000000.0,333400000000.0,324000000000.0,315800000000.0,308400000000.0,301700000000.0,295600000000.0,290300000000.0,280200000000.0,273000000000.0,266200000000.0,259900000000.0,254600000000.0,249800000000.0,245100000000.0,240700000000.0,236600000000.0,233000000000.0,229600000000.0,226300000000.0,223200000000.0,220200000000.0,217200000000.0,214300000000.0,211500000000.0,208800000000.0,206000000000.0,203400000000.0,200900000000.0,198600000000.0,196300000000.0,194000000000.0,191800000000.0,189600000000.0,187500000000.0,185300000000.0,181200000000.0,177200000000.0,173200000000.0,169400000000.0,165800000000.0,162200000000.0,158900000000.0,155800000000.0,152800000000.0,149900000000.0,147100000000.0,144300000000.0,139400000000.0,134700000000.0,130300000000.0,126200000000.0,122300000000.0,90740000000.0,71980000000.0,60070000000.0,30670000000.0
5,1000.0,40.0,16960000000000.0,3278000000000.0,1934000000000.0,1341000000000.0,1012000000000.0,824400000000.0,709200000000.0,648700000000.0,606400000000.0,572300000000.0,545500000000.0,521400000000.0,499500000000.0,479300000000.0,460500000000.0,443400000000.0,428300000000.0,414800000000.0,402600000000.0,391500000000.0,381900000000.0,363000000000.0,349500000000.0,337200000000.0,326100000000.0,316800000000.0,308700000000.0,301000000000.0,294000000000.0,287600000000.0,282200000000.0,277300000000.0,272500000000.0,268000000000.0,263700000000.0,259500000000.0,255400000000.0,251500000000.0,247600000000.0,243800000000.0,240100000000.0,236600000000.0,233400000000.0,230200000000.0,227100000000.0,224100000000.0,221100000000.0,218100000000.0,215200000000.0,209600000000.0,204200000000.0,198700000000.0,193600000000.0,188700000000.0,184100000000.0,179700000000.0,175600000000.0,171700000000.0,168100000000.0,164500000000.0,161100000000.0,155000000000.0,149300000000.0,144000000000.0,139000000000.0,134300000000.0,96690000000.0,75460000000.0,62420000000.0,30600000000.0
6,2500.0,0.0,441000000000000.0,160900000000000.0,122100000000000.0,99050000000000.0,81370000000000.0,66170000000000.0,55110000000000.0,48130000000000.0,42970000000000.0,38900000000000.0,35760000000000.0,33050000000000.0,30680000000000.0,28600000000000.0,26790000000000.0,25180000000000.0,23760000000000.0,22490000000000.0,21360000000000.0,20340000000000.0,19450000000000.0,17660000000000.0,16340000000000.0,15200000000000.0,14230000000000.0,13440000000000.0,12790000000000.0,12180000000000.0,11650000000000.0,11190000000000.0,10810000000000.0,10480000000000.0,10160000000000.0,9868000000000.0,9598000000000.0,9340000000000.0,9094000000000.0,8866000000000.0,8649000000000.0,8435000000000.0,8236000000000.0,8050000000000.0,7880000000000.0,7720000000000.0,7565000000000.0,7415000000000.0,7270000000000.0,7130000000000.0,6992000000000.0,6732000000000.0,6485000000000.0,6249000000000.0,6043000000000.0,5855000000000.0,5679000000000.0,5516000000000.0,5366000000000.0,5234000000000.0,5112000000000.0,5001000000000.0,4901000000000.0,4742000000000.0,4592000000000.0,4451000000000.0,4317000000000.0,4191000000000.0,3189000000000.0,2577000000000.0,2170000000000.0,1083000000000.0
7,1800.0,80.0,220500000000000.0,19510000000000.0,12000000000000.0,8977000000000.0,7156000000000.0,5836000000000.0,4915000000000.0,4341000000000.0,3916000000000.0,3580000000000.0,3319000000000.0,3091000000000.0,2890000000000.0,2712000000000.0,2555000000000.0,2415000000000.0,2292000000000.0,2183000000000.0,2085000000000.0,1998000000000.0,1922000000000.0,1773000000000.0,1664000000000.0,1569000000000.0,1488000000000.0,1421000000000.0,1365000000000.0,1313000000000.0,1267000000000.0,1227000000000.0,1194000000000.0,1164000000000.0,1137000000000.0,1110000000000.0,1085000000000.0,1060000000000.0,1037000000000.0,1016000000000.0,995100000000.0,975200000000.0,956600000000.0,939000000000.0,922900000000.0,907500000000.0,892900000000.0,878700000000.0,864800000000.0,851200000000.0,837900000000.0,813000000000.0,789500000000.0,766600000000.0,745200000000.0,724800000000.0,705700000000.0,688000000000.0,671400000000.0,656200000000.0,641800000000.0,628400000000.0,616100000000.0,594800000000.0,574500000000.0,555600000000.0,537700000000.0,520700000000.0,385500000000.0,308800000000.0,259300000000.0,128900000000.0
8,1600.0,30.0,122800000000000.0,23650000000000.0,15580000000000.0,11910000000000.0,9599000000000.0,7915000000000.0,6738000000000.0,6010000000000.0,5470000000000.0,5039000000000.0,4704000000000.0,4409000000000.0,4147000000000.0,3912000000000.0,3702000000000.0,3513000000000.0,3347000000000.0,3199000000000.0,3067000000000.0,2947000000000.0,2843000000000.0,2638000000000.0,2489000000000.0,2358000000000.0,2244000000000.0,2151000000000.0,2073000000000.0,2000000000000.0,1936000000000.0,1879000000000.0,1832000000000.0,1792000000000.0,1753000000000.0,1716000000000.0,1682000000000.0,1648000000000.0,1616000000000.0,1586000000000.0,1556000000000.0,1528000000000.0,1500000000000.0,1475000000000.0,1451000000000.0,1428000000000.0,1406000000000.0,1384000000000.0,1363000000000.0,1342000000000.0,1322000000000.0,1283000000000.0,1246000000000.0,1210000000000.0,1177000000000.0,1147000000000.0,1117000000000.0,1090000000000.0,1065000000000.0,1041000000000.0,1019000000000.0,998200000000.0,978300000000.0,944200000000.0,912200000000.0,882000000000.0,853600000000.0,827000000000.0,612300000000.0,487300000000.0,407900000000.0,204500000000.0
9,4000.0,10.0,5245000000000000.0,946000000000000.0,519000000000000.0,335200000000000.0,231200000000000.0,167000000000000.0,128300000000000.0,108500000000000.0,95000000000000.0,84250000000000.0,75800000000000.0,68400000000000.0,61850000000000.0,55940000000000.0,50440000000000.0,45650000000000.0,41550000000000.0,37990000000000.0,34900000000000.0,32200000000000.0,29890000000000.0,25450000000000.0,22310000000000.0,19760000000000.0,17700000000000.0,16110000000000.0,14840000000000.0,13740000000000.0,12800000000000.0,12020000000000.0,11410000000000.0,10900000000000.0,10430000000000.0,9997000000000.0,9602000000000.0,9230000000000.0,8881000000000.0,8561000000000.0,8261000000000.0,7965000000000.0,7693000000000.0,7441000000000.0,7215000000000.0,7004000000000.0,6802000000000.0,6609000000000.0,6424000000000.0,6246000000000.0,6071000000000.0,5746000000000.0,5442000000000.0,5157000000000.0,4910000000000.0,4684000000000.0,4478000000000.0,4290000000000.0,4120000000000.0,3975000000000.0,3844000000000.0,3727000000000.0,3626000000000.0,3470000000000.0,3326000000000.0,3191000000000.0,3066000000000.0,2950000000000.0,2094000000000.0,1611000000000.0,1300000000000.0,506300000000.0
