,Altitude_km,Inclination_deg,0.01_mmAl,0.1_mmAl,0.2_mmAl,0.3_mmAl,0.4_mmAl,0.5_mmAl,0.6_mmAl,0.7_mmAl,0.8_mmAl,0.9_mmAl,1.0_mmAl,1.1_mmAl,1.2_mmAl,1.3_mmAl,1.4_mmAl,1.5_mmAl,1.6_mmAl,1.7_mmAl,1.8_mmAl,1.9_mmAl,2.0_mmAl,2.25_mmAl,2.5_mmAl,2.75_mmAl,3.0_mmAl,3.25_mmAl,3.5_mmAl,3.75_mmAl,4.0_mmAl,4.25_mmAl,4.5_mmAl,4.75_mmAl,5.0_mmAl,5.25_mmAl,5.5_mmAl,5.75_mmAl,6.0_mmAl,6.25_mmAl,6.5_mmAl,6.75_mmAl,7.0_mmAl,7.25_mmAl,7.5_mmAl,7.75_mmAl,8.0_mmAl,8.25_mmAl,8.5_mmAl,8.75_mmAl,9.0_mmAl,9.5_mmAl,10.0_mmAl,10.5_mmAl,11.0_mmAl,11.5_mmAl,12.0_mmAl,12.5_mmAl,13.0_mmAl,13.5_mmAl,14.0_mmAl,14.5_mmAl,15.0_mmAl,16.0_mmAl,17.0_mmAl,18.0_mmAl,19.0_mmAl,20.0_mmAl,30.0_mmAl,40.0_mmAl,50.0_mmAl,100.0_mmAl
10,200.0,60.0,173800000000.0,48430000000.0,30960000000.0,22840000000.0,17730000000.0,14480000000.0,12130000000.0,10320000000.0,8877000000.0,7735000000.0,6840000000.0,6095000000.0,5456000000.0,4907000000.0,4443000000.0,4037000000.0,3684000000.0,3371000000.0,3092000000.0,2848000000.0,2637000000.0,2217000000.0,1906000000.0,1667000000.0,1484000000.0,1346000000.0,1238000000.0,1149000000.0,1075000000.0,1013000000.0,961900000.0,917400000.0,877000000.0,840400000.0,807200000.0,776200000.0,747100000.0,720600000.0,695700000.0,672400000.0,650800000.0,630700000.0,612600000.0,595500000.0,579400000.0,563900000.0,549000000.0,534600000.0,520900000.0,495000000.0,471300000.0,449400000.0,429700000.0,411700000.0,394900000.0,379400000.0,364900000.0,351400000.0,338700000.0,327100000.0,316200000.0,297000000.0,279500000.0,263800000.0,249600000.0,236800000.0,152300000.0,108400000.0,83150000.0,30680000.0
11,2500.0,50.0,986400000000000.0,84760000000000.0,48430000000000.0,34620000000000.0,26740000000000.0,21200000000000.0,17400000000000.0,15070000000000.0,13350000000000.0,12000000000000.0,10950000000000.0,10040000000000.0,9229000000000.0,8513000000000.0,7866000000000.0,7296000000000.0,6805000000000.0,6376000000000.0,5997000000000.0,5663000000000.0,5376000000000.0,4828000000000.0,4436000000000.0,4104000000000.0,3823000000000.0,3596000000000.0,3410000000000.0,3241000000000.0,3093000000000.0,2965000000000.0,2862000000000.0,2774000000000.0,2690000000000.0,2610000000000.0,2535000000000.0,2463000000000.0,2395000000000.0,2333000000000.0,2274000000000.0,2217000000000.0,2163000000000.0,2113000000000.0,2067000000000.0,2024000000000.0,1983000000000.0,1943000000000.0,1904000000000.0,1867000000000.0,1830000000000.0,1761000000000.0,1697000000000.0,1635000000000.0,1577000000000.0,1522000000000.0,1471000000000.0,1426000000000.0,1383000000000.0,1345000000000.0,1310000000000.0,1278000000000.0,1249000000000.0,1202000000000.0,1157000000000.0,1116000000000.0,1077000000000.0,1041000000000.0,761600000000.0,607600000000.0,507500000000.0,232400000000.0
12,2500.0,40.0,997300000000000.0,107300000000000.0,61490000000000.0,43670000000000.0,33530000000000.0,26510000000000.0,21740000000000.0,18820000000000.0,16670000000000.0,14970000000000.0,13660000000000.0,12510000000000.0,11500000000000.0,10600000000000.0,9788000000000.0,9068000000000.0,8449000000000.0,7906000000000.0,7430000000000.0,7008000000000.0,6648000000000.0,5952000000000.0,5462000000000.0,5045000000000.0,4693000000000.0,4413000000000.0,4183000000000.0,3975000000000.0,3793000000000.0,3638000000000.0,3514000000000.0,3409000000000.0,3309000000000.0,3215000000000.0,3129000000000.0,3046000000000.0,2966000000000.0,2893000000000.0,2822000000000.0,2751000000000.0,2685000000000.0,2623000000000.0,2566000000000.0,2513000000000.0,2461000000000.0,2410000000000.0,2361000000000.0,2314000000000.0,2267000000000.0,2178000000000.0,2094000000000.0,2012000000000.0,1940000000000.0,1873000000000.0,1810000000000.0,1752000000000.0,1699000000000.0,1651000000000.0,1608000000000.0,1568000000000.0,1531000000000.0,1472000000000.0,1417000000000.0,1366000000000.0,1317000000000.0,1272000000000.0,928000000000.0,734600000000.0,610800000000.0,279000000000.0
13,200.0,70.0,840200000000.0,324400000000.0,163900000000.0,111100000000.0,83490000000.0,66840000000.0,55100000000.0,46660000000.0,40220000000.0,35230000000.0,31440000000.0,28250000000.0,25540000000.0,23260000000.0,21390000000.0,19740000000.0,18280000000.0,16990000000.0,15830000000.0,14790000000.0,13880000000.0,12030000000.0,10630000000.0,9467000000.0,8508000000.0,7735000000.0,7102000000.0,6544000000.0,6059000000.0,5637000000.0,5280000000.0,4967000000.0,4679000000.0,4418000000.0,4181000000.0,3961000000.0,3757000000.0,3572000000.0,3400000000.0,3242000000.0,3098000000.0,2965000000.0,2848000000.0,2738000000.0,2637000000.0,2540000000.0,2448000000.0,2360000000.0,2279000000.0,2126000000.0,1991000000.0,1868000000.0,1761000000.0,1665000000.0,1577000000.0,1496000000.0,1422000000.0,1353000000.0,1289000000.0,1230000000.0,1176000000.0,1082000000.0,998000000.0,924200000.0,858900000.0,801200000.0,455300000.0,295400000.0,211600000.0,66340000.0
14,1600.0,20.0,66820000000000.0,19080000000000.0,13710000000000.0,11010000000000.0,9243000000000.0,7953000000000.0,7003000000000.0,6360000000000.0,5861000000000.0,5457000000000.0,5139000000000.0,4855000000000.0,4600000000000.0,4369000000000.0,4157000000000.0,3966000000000.0,3797000000000.0,3646000000000.0,3510000000000.0,3387000000000.0,3279000000000.0,3067000000000.0,2911000000000.0,2773000000000.0,2651000000000.0,2551000000000.0,2466000000000.0,2386000000000.0,2314000000000.0,2250000000000.0,2197000000000.0,2150000000000.0,2105000000000.0,2062000000000.0,2022000000000.0,1983000000000.0,1946000000000.0,1910000000000.0,1876000000000.0,1842000000000.0,1810000000000.0,1780000000000.0,1752000000000.0,1725000000000.0,1699000000000.0,1673000000000.0,1648000000000.0,1624000000000.0,1600000000000.0,1554000000000.0,1510000000000.0,1466000000000.0,1428000000000.0,1391000000000.0,1357000000000.0,1324000000000.0,1294000000000.0,1266000000000.0,1239000000000.0,1214000000000.0,1191000000000.0,1150000000000.0,1112000000000.0,1076000000000.0,1043000000000.0,1011000000000.0,754100000000.0,602400000000.0,504200000000.0,246700000000.0
15,1800.0,90.0,165900000000000.0,16640000000000.0,10110000000000.0,7532000000000.0,6030000000000.0,4982000000000.0,4243000000000.0,3768000000000.0,3410000000000.0,3126000000000.0,2903000000000.0,2707000000000.0,2533000000000.0,2378000000000.0,2238000000000.0,2114000000000.0,2005000000000.0,1909000000000.0,1823000000000.0,1746000000000.0,1680000000000.0,1551000000000.0,1458000000000.0,1377000000000.0,1306000000000.0,1248000000000.0,1199000000000.0,1154000000000.0,1114000000000.0,1079000000000.0,1049000000000.0,1024000000000.0,998800000000.0,975200000000.0,952700000000.0,931100000000.0,910400000000.0,891500000000.0,873300000000.0,855600000000.0,839000000000.0,823400000000.0,809000000000.0,795200000000.0,782200000000.0,769400000000.0,757000000000.0,744900000000.0,733000000000.0,710700000000.0,689600000000.0,669100000000.0,649900000000.0,631600000000.0,614400000000.0,598700000000.0,583900000000.0,570300000000.0,557500000000.0,545700000000.0,534900000000.0,516300000000.0,498500000000.0,482000000000.0,466400000000.0,451700000000.0,334000000000.0,267200000000.0,223700000000.0,107100000000.0
16,20000.0,10.0,3.041e+16,16130000000000.0,9181000000000.0,7522000000000.0,6236000000000.0,5243000000000.0,4443000000000.0,3757000000000.0,3179000000000.0,2699000000000.0,2311000000000.0,1988000000000.0,1711000000000.0,1472000000000.0,1269000000000.0,1097000000000.0,948800000000.0,819900000000.0,707900000000.0,611600000000.0,531700000000.0,378900000000.0,273500000000.0,199300000000.0,147100000000.0,110800000000.0,84090000000.0,64300000000.0,49690000000.0,38920000000.0,30580000000.0,23870000000.0,18900000000.0,15130000000.0,12160000000.0,9785000000.0,7797000000.0,6402000000.0,5287000000.0,4396000000.0,3563000000.0,3027000000.0,2594000000.0,2241000000.0,1849000000.0,1629000000.0,1450000000.0,1301000000.0,1085000000.0,903000000.0,694700000.0,536700000.0,466500000.0,363600000.0,283200000.0,221000000.0,198900000.0,156300000.0,122800000.0,96470000.0,65300000.0,34890000.0,19110000.0,7294000.0,2457000.0,2504000.0,3225000.0,2002000.0,2589000.0,2634000.0
17,1000.0,50.0,18170000000000.0,2364000000000.0,1321000000000.0,922000000000.0,709800000000.0,583000000000.0,500900000000.0,453000000000.0,418400000000.0,390900000000.0,369600000000.0,350900000000.0,334400000000.0,319800000000.0,307000000000.0,295400000000.0,285200000000.0,276000000000.0,267700000000.0,260100000000.0,253500000000.0,240500000000.0,230700000000.0,222000000000.0,214200000000.0,207600000000.0,202000000000.0,196600000000.0,191600000000.0,187200000000.0,183300000000.0,179800000000.0,176400000000.0,173100000000.0,170000000000.0,166900000000.0,163900000000.0,161200000000.0,158500000000.0,155900000000.0,153500000000.0,151100000000.0,148900000000.0,146900000000.0,144800000000.0,142900000000.0,141000000000.0,139100000000.0,137200000000.0,133700000000.0,130300000000.0,127000000000.0,123800000000.0,120800000000.0,118000000000.0,115300000000.0,112800000000.0,110300000000.0,108000000000.0,105900000000.0,103800000000.0,100100000000.0,96520000000.0,93200000000.0,90070000000.0,87080000000.0,63150000000.0,49650000000.0,41030000000.0,19080000000.0
18,200.0,0.0,142500.0,83460.0,45700.0,23110.0,10700.0,5375.0,2637.0,1142.0,403.3,147.7,50.86,13.73,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,900.0,30.0,7768000000000.0,1597000000000.0,1002000000000.0,749300000000.0,607400000000.0,520600000000.0,463300000000.0,429800000000.0,405400000000.0,385400000000.0,369700000000.0,355600000000.0,342700000000.0,331000000000.0,320500000000.0,310800000000.0,302100000000.0,294100000000.0,286700000000.0,279900000000.0,273900000000.0,261600000000.0,252200000000.0,243600000000.0,235800000000.0,229300000000.0,223500000000.0,218000000000.0,212900000000.0,208200000000.0,204100000000.0,200300000000.0,196700000000.0,193300000000.0,190000000000.0,186800000000.0,183700000000.0,180800000000.0,177900000000.0,175100000000.0,172400000000.0,169900000000.0,167500000000.0,165300000000.0,163100000000.0,160900000000.0,158700000000.0,156600000000.0,154500000000.0,150600000000.0,146800000000.0,143000000000.0,139500000000.0,136300000000.0,133100000000.0,130100000000.0,127300000000.0,124700000000.0,122200000000.0,119700000000.0,117300000000.0,113100000000.0,109200000000.0,105500000000.0,101900000000.0,98670000000.0,72220000000.0,56780000000.0,46980000000.0,22330000000.0
